loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.2653633;0.525;1.2069418;0.521;1.220709;0.5077;27;24;26;25
1.3786871;0.4625;1.1951177;0.5417;1.2132146;0.5295;27;24;26;24
1.2648208;0.5125;1.0809307;0.5779;1.115194;0.5517;26;24;26;24
0.97285986;0.6125;0.94427747;0.6585;0.96728206;0.6422;25;24;25;23
0.796655;0.6875;0.7922633;0.7006;0.79782236;0.7036;24;23;24;22
0.7886613;0.7;0.7597599;0.7278;0.7608643;0.7272;23;22;22;21
0.75326496;0.775;1.0284494;0.6405;1.053215;0.637;23;22;22;21
0.73594844;0.7625;0.88146514;0.6715;0.92893165;0.6597;23;22;22;20
0.76133585;0.775;0.7237093;0.7577;0.7217172;0.7594;22;22;22;20
0.8501282;0.7375;0.7802134;0.7584;0.7737253;0.7565;21;22;22;19
0.80816746;0.7875;0.53156555;0.8285;0.5529837;0.821;21;21;22;19
0.48021746;0.8375;0.47881177;0.8503;0.49170244;0.8402;20;21;22;19
0.33246478;0.875;0.4901667;0.8495;0.4913337;0.8463;20;20;22;19
0.42601752;0.8875;0.5451675;0.8231;0.5570705;0.8203;20;20;21;18
0.8214048;0.7625;0.69851804;0.7705;0.7301493;0.7564;20;20;21;18
0.70837766;0.8125;0.5120007;0.8449;0.5205353;0.8394;20;20;20;18
0.4189136;0.8625;0.44325468;0.8602;0.45231465;0.8543;19;20;20;18
0.5479752;0.85;0.3503132;0.8934;0.36809844;0.8876;19;20;20;18
0.34921917;0.9;0.38555416;0.8801;0.3988123;0.8744;19;20;20;18
0.40824613;0.85;0.35584444;0.8917;0.37167856;0.8846;19;20;20;18
0.48483878;0.8375;0.43425265;0.8706;0.45093438;0.8599;18;20;20;18
0.16130178;0.9625;0.4258159;0.8681;0.4482255;0.8588;18;20;20;18
0.6493255;0.8125;0.4936509;0.8494;0.5216205;0.8372;18;20;20;18
0.65428144;0.7875;0.55357116;0.8277;0.58070177;0.8164;18;19;20;18
0.69062674;0.7375;0.5117362;0.8375;0.53601134;0.8326;18;19;19;18
0.5220992;0.8625;0.4609508;0.862;0.46777788;0.8596;18;19;19;18
0.39149776;0.8875;0.3952589;0.8802;0.4166936;0.8745;18;19;19;18
0.66004616;0.7625;0.3556527;0.8891;0.3661044;0.8826;18;19;19;18
0.43324596;0.875;0.37702197;0.8803;0.38858914;0.8788;18;19;19;18
0.5068816;0.825;0.37929872;0.8872;0.39995593;0.8814;18;19;19;18
0.26743752;0.9;0.42735296;0.8639;0.4418123;0.8586;18;19;19;18
0.28787765;0.9;0.34818462;0.8955;0.36168617;0.8897;18;19;19;18
0.3434876;0.925;0.49076295;0.8466;0.50180775;0.8409;18;19;19;18
0.3460261;0.8625;0.33595082;0.8949;0.352005;0.8906;18;19;19;18
0.255293;0.9375;0.302264;0.9076;0.30887148;0.9021;18;18;19;18
0.19932199;0.9375;0.30218115;0.9095;0.30749446;0.9049;18;18;19;18
