loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
0.62229186;0.8125;0.9041873;0.7001;0.89718175;0.6957;86;82;83;84
0.9461649;0.7375;0.6628825;0.7747;0.66293204;0.7827;83;82;83;82
1.0418707;0.675;0.4634176;0.8604;0.48252714;0.8557;82;82;83;82
0.8704918;0.7875;1.1021326;0.6262;1.0953486;0.634;80;80;83;82
0.80365884;0.7625;0.7205396;0.7601;0.7261845;0.7616;79;79;83;82
1.1774466;0.6375;0.92157614;0.7057;0.94984317;0.6942;77;78;82;82
0.8218082;0.7625;0.5578666;0.8186;0.554038;0.825;76;77;82;82
0.9768971;0.6125;0.8252597;0.717;0.8088988;0.724;74;76;81;81
0.8964194;0.725;0.84213203;0.7014;0.899074;0.6815;73;76;81;80
1.1909778;0.5375;0.9618553;0.7053;0.974197;0.6987;73;76;81;80
0.6388056;0.75;1.0635766;0.6419;1.0760156;0.6466;72;75;81;80
1.0402844;0.625;0.9052949;0.6814;0.9382622;0.6741;71;75;81;80
3.8186145;0.3125;1.7755595;0.5169;1.7578025;0.5292;70;74;80;80
1.6232119;0.5625;0.9439971;0.687;0.9527363;0.6827;70;74;80;80
0.6950485;0.8;1.4499742;0.6216;1.42734;0.6301;70;74;80;80
0.6615407;0.8125;0.629124;0.8139;0.6509009;0.8056;69;74;80;80
1.2019157;0.5625;1.0274848;0.651;1.061933;0.6368;68;73;80;79
0.7898492;0.7625;0.6722371;0.7869;0.6770465;0.783;68;73;79;79
1.3470318;0.55;0.7173146;0.7736;0.7448684;0.7637;67;73;79;79
0.5396965;0.8375;0.5228777;0.8507;0.5448665;0.8391;66;73;79;79
0.6912633;0.75;0.56851435;0.8353;0.5734706;0.8257;66;73;79;79
0.6934042;0.775;0.52007216;0.8546;0.51266026;0.8502;65;72;78;79
0.6521491;0.8625;0.6680833;0.8168;0.6320599;0.8241;64;72;78;78
0.6501945;0.8375;0.49319273;0.8582;0.520663;0.843;64;72;78;78
0.5789665;0.7875;0.45232773;0.8731;0.48710948;0.8665;63;72;78;78
0.5288523;0.875;0.62470937;0.807;0.6520115;0.796;63;72;78;78
0.60871136;0.7875;0.68485606;0.7935;0.7140121;0.7818;63;72;78;78
0.6721688;0.775;0.85179335;0.7225;0.8932545;0.7068;62;72;78;78
0.42164946;0.85;0.45975956;0.8697;0.5016139;0.8554;62;72;78;78
0.7546973;0.8125;0.83702284;0.7389;0.88420683;0.7218;62;71;78;78
0.6621537;0.825;0.80260354;0.7653;0.80802584;0.7559;62;71;78;78
0.43728772;0.8375;0.6235041;0.8147;0.6445673;0.804;62;71;77;78
0.44705707;0.85;0.5698187;0.8405;0.5985081;0.8344;62;71;77;78
0.47911406;0.7875;2.0357747;0.5148;2.2074132;0.4948;61;71;77;78
0.76482403;0.8875;0.5292674;0.8452;0.564035;0.8309;61;71;77;78
0.99250746;0.675;4.62509;0.3643;4.622653;0.3532;61;71;77;78
0.5695008;0.8375;0.56708515;0.8448;0.5944891;0.8392;61;71;76;78
0.5159508;0.8125;0.57708323;0.8331;0.63537407;0.8139;61;70;76;77
0.55774665;0.8375;0.52909416;0.8385;0.527998;0.8345;60;70;76;77
0.61126584;0.8;0.4845919;0.864;0.5219038;0.85;60;70;76;77
0.7460585;0.85;0.59121346;0.8223;0.59071285;0.8142;59;70;76;77
0.6024227;0.7875;0.5387953;0.848;0.5567998;0.8409;59;70;76;77
0.37680054;0.9125;0.48004463;0.8615;0.5309;0.8497;59;70;76;77
0.44774118;0.8375;0.3941103;0.8882;0.3985288;0.8876;58;70;76;77
0.52276224;0.8625;0.645009;0.7982;0.6329358;0.8003;58;70;76;77
0.43994194;0.8875;0.42925924;0.8747;0.45142567;0.8673;58;70;76;77
0.6852579;0.7625;0.50277317;0.8613;0.5323619;0.8528;58;70;76;77
0.60708666;0.8;0.43044662;0.8775;0.45419326;0.8639;58;70;76;77
0.52091134;0.8375;0.46537685;0.8731;0.47558936;0.8658;58;70;76;77
0.62692606;0.8;0.434588;0.8855;0.45703042;0.8804;58;70;75;77
0.5137088;0.7875;0.42727843;0.8818;0.4569752;0.8702;58;70;75;77
0.81194365;0.7875;0.46759248;0.8674;0.48454082;0.8591;57;70;75;77
0.5276773;0.8625;0.44299394;0.8703;0.47026005;0.8623;57;70;75;77
0.48014393;0.8375;0.46664092;0.8751;0.50270396;0.862;57;69;75;77
0.78601694;0.8125;0.41100273;0.8839;0.4378956;0.879;57;69;75;77
0.24872486;0.8875;0.4068627;0.8978;0.44018587;0.8824;57;69;75;77
0.34670222;0.875;0.539825;0.8567;0.54984707;0.853;57;69;75;77
0.6574371;0.775;0.9610888;0.7157;1.0097065;0.6999;57;69;75;76
0.6066665;0.8;0.43134096;0.8744;0.46367523;0.8702;57;69;75;76
0.36132312;0.8875;0.44161475;0.8732;0.46185133;0.8649;56;69;75;76
0.53084487;0.8125;0.4170412;0.8795;0.43333915;0.8747;56;69;75;76
0.62834865;0.8125;0.4777896;0.8669;0.50893134;0.856;56;69;75;76
0.63330936;0.825;0.4755675;0.8665;0.4938424;0.8624;56;69;74;76
0.35891455;0.85;0.3894252;0.8813;0.4199742;0.8783;56;69;74;76
0.2588294;0.9;0.4124619;0.8839;0.44449306;0.8821;56;69;74;76
0.29248625;0.9375;0.5104965;0.8514;0.5503217;0.844;56;69;74;76
0.38921285;0.9;0.49554223;0.8575;0.52334553;0.8527;55;69;74;75
0.9902463;0.8125;0.62443113;0.8191;0.6937202;0.8018;55;69;74;75
0.624786;0.8;0.5182558;0.8616;0.5750837;0.8516;55;69;74;75
0.63196886;0.7875;0.621156;0.8265;0.66783845;0.8135;55;69;74;75
0.31268853;0.925;0.4728459;0.865;0.48292914;0.8601;55;69;74;75
0.49363214;0.825;0.43812785;0.8784;0.43387926;0.8774;55;69;74;75
0.811434;0.75;0.3456917;0.9037;0.37466547;0.8947;55;69;74;75
0.36089358;0.925;0.36241147;0.8988;0.38761276;0.8934;55;69;74;75
1.0929065;0.7375;0.38292676;0.8914;0.4113029;0.8851;54;69;74;75
0.36551872;0.8625;0.3078626;0.9155;0.34347725;0.9073;54;69;74;75
0.40726128;0.875;0.39381054;0.8934;0.40680102;0.8936;54;69;74;75
0.53136224;0.85;0.3623503;0.9007;0.37486497;0.8938;54;69;74;75
0.74003065;0.825;0.5972671;0.8445;0.6621686;0.8306;54;69;74;75
0.6816627;0.825;0.40758866;0.8856;0.42900565;0.8824;54;69;74;75
0.49952608;0.825;0.44577798;0.8787;0.4796372;0.8686;54;69;74;75
0.49943012;0.8375;0.41533095;0.8878;0.44981372;0.8799;54;68;74;75
0.4691217;0.8625;0.40581298;0.8832;0.43005967;0.8762;53;68;74;75
0.37942147;0.925;0.5969532;0.8535;0.6391156;0.8454;53;68;74;75
0.1913034;0.95;0.5192966;0.8584;0.5342967;0.8569;53;68;74;75
0.18156953;0.9625;0.40875474;0.894;0.4223922;0.8825;53;68;74;75
0.39006466;0.8875;0.44285497;0.8768;0.48254293;0.8663;53;68;74;75
0.4475258;0.8625;0.38928837;0.8902;0.40758306;0.8881;53;68;74;75
0.5916545;0.8625;0.41914555;0.8747;0.47230434;0.8636;53;68;73;75
0.61435807;0.875;0.4179159;0.8826;0.43632367;0.8772;53;68;73;74
0.5746045;0.8375;0.45963666;0.8748;0.48321036;0.8673;53;68;73;74
0.40843016;0.85;0.3634769;0.8943;0.3926462;0.8893;53;68;73;74
1.1724634;0.7;1.2474163;0.6844;1.2921131;0.6786;53;68;73;74
0.5054082;0.85;0.4597757;0.8663;0.53440183;0.8414;53;68;73;74
0.50112516;0.875;0.41678506;0.8738;0.43339276;0.8711;53;68;73;74
0.46889138;0.85;0.5049752;0.8538;0.57531893;0.8398;53;68;73;74
0.35169995;0.9;0.41288477;0.8837;0.43616593;0.877;53;68;73;74
0.45404473;0.875;0.36663786;0.8873;0.3853993;0.8854;53;68;73;74
0.37874204;0.925;0.43775454;0.8767;0.47553423;0.8692;53;68;73;74
0.09746205;0.9625;0.40726084;0.8927;0.43714356;0.8805;53;68;73;74
0.14815035;0.975;0.32240933;0.9171;0.32742465;0.9101;53;67;73;74
0.543074;0.8625;0.3109356;0.9159;0.3247375;0.9091;53;67;73;74
0.57411754;0.8125;0.36321104;0.9002;0.39034224;0.8932;53;67;73;74
0.3974747;0.875;0.49888846;0.8656;0.516128;0.8581;52;67;73;74
0.42692956;0.85;0.42122367;0.8865;0.43281904;0.8853;52;67;73;74
0.31390142;0.8625;0.36628938;0.9012;0.3678916;0.8946;52;67;73;73
0.2649277;0.8875;0.4546944;0.8801;0.4572038;0.8727;52;67;73;73
