loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.22579706;0.95;0.23429883;0.9303;0.2653037;0.9226;19;19;22;20
0.22193642;0.95;0.33233634;0.9032;0.36566225;0.8907;19;19;22;20
0.31924334;0.925;0.2559272;0.9279;0.28019798;0.9209;19;19;22;20
0.45330676;0.8625;0.3685292;0.8965;0.37481317;0.8885;19;19;22;20
0.4199213;0.8625;0.27623358;0.9224;0.27601555;0.9207;19;19;22;20
0.21518269;0.9375;0.23879637;0.9308;0.24312437;0.928;19;19;22;20
0.1700452;0.925;0.55532974;0.8332;0.58147883;0.8242;18;19;22;20
0.29162282;0.8875;0.23346166;0.9337;0.25002503;0.9274;18;19;22;20
0.22950897;0.925;0.2419065;0.9314;0.25426394;0.9235;18;19;22;20
0.37226844;0.8875;0.27886006;0.923;0.29963878;0.9107;18;19;22;20
0.19684717;0.925;0.27321404;0.9222;0.290715;0.916;18;19;22;20
0.14892352;0.95;0.22908536;0.934;0.24642631;0.9276;18;19;22;20
0.24792394;0.9;0.223323;0.935;0.23238057;0.9323;18;19;22;20
0.2434791;0.9375;0.23126772;0.9388;0.23911826;0.9296;18;19;22;20
0.28176084;0.9125;0.23921861;0.9328;0.25906977;0.9266;18;19;22;20
0.19922498;0.9375;0.22419;0.9348;0.24701092;0.9299;18;19;22;20
0.29844028;0.925;0.26546898;0.9258;0.2806731;0.9165;18;19;22;20
0.42140985;0.9;0.24630918;0.9295;0.2616183;0.9241;18;18;22;20
0.20262423;0.9375;0.2593321;0.9302;0.26761192;0.9215;18;18;22;20
3.1829262;0.5625;0.96759427;0.7459;0.9929092;0.7458;18;18;22;20
0.11216915;0.9875;0.31508553;0.9135;0.33024988;0.9092;18;18;22;20
0.32357857;0.9125;0.24099536;0.9289;0.25776505;0.9238;18;18;22;20
0.12863037;0.9625;0.23566565;0.9311;0.24538496;0.9318;18;18;22;20
0.38656533;0.925;0.23528609;0.9341;0.23343648;0.9322;18;18;22;20
0.1206825;0.95;0.2318998;0.9361;0.24543047;0.9321;18;18;22;20
0.22943826;0.95;0.25520307;0.9276;0.27411368;0.9208;18;18;22;20
0.3001374;0.9125;0.27282315;0.9218;0.28520766;0.9173;18;18;22;19
0.12350471;0.9625;0.22630727;0.9328;0.24789512;0.9271;18;18;22;19
0.25733137;0.9125;0.2789436;0.9186;0.29249308;0.9095;18;18;22;19
0.23704562;0.95;0.20275249;0.942;0.2276041;0.9345;18;18;22;19
0.4271199;0.9;0.21582466;0.9384;0.22919717;0.933;18;18;22;19
0.22196123;0.95;0.2616343;0.9245;0.28561926;0.9198;18;18;22;19
0.29306468;0.9125;0.24059094;0.9305;0.26347947;0.925;18;18;22;19
0.25444713;0.9375;0.27252778;0.9237;0.30465224;0.9125;18;17;22;19
0.34984845;0.875;0.21808106;0.9368;0.23659395;0.9301;18;17;22;19
0.27028972;0.925;0.20654741;0.9397;0.23008643;0.9303;18;17;22;19
0.24133329;0.9375;0.22688986;0.9333;0.23318611;0.9308;18;17;22;19
0.1459451;0.9625;0.23027334;0.9304;0.25030833;0.9265;18;17;22;19
0.13311502;0.975;0.1979619;0.9416;0.21484777;0.9348;18;17;22;19
0.14213434;0.9625;0.21295547;0.9384;0.22682485;0.934;18;17;22;19
0.16920705;0.9375;0.19678655;0.9438;0.21497546;0.9369;18;17;22;19
0.16384849;0.95;0.19073237;0.9428;0.21867405;0.9368;18;17;22;19
0.19001883;0.9375;0.23497573;0.936;0.25244263;0.9275;18;17;22;19
0.23988967;0.9625;0.20876172;0.9378;0.24310157;0.9294;18;17;22;19
0.44159403;0.9125;0.20571677;0.9425;0.22449365;0.9378;18;17;22;19
0.29138443;0.925;0.18477169;0.9471;0.2149026;0.937;18;17;22;19
0.25552782;0.9375;0.22920495;0.9353;0.2500012;0.9299;18;17;22;19
0.27929524;0.9375;0.2440963;0.9332;0.25997376;0.925;18;17;22;19
0.3184348;0.9125;0.21663629;0.9386;0.22611178;0.9352;18;16;22;19
0.38237852;0.925;0.20515572;0.9418;0.2184438;0.9373;18;16;22;19
0.1153156;0.9625;0.23085493;0.9369;0.24775103;0.928;18;16;22;19
0.22672379;0.9375;0.20445015;0.9389;0.21644253;0.9351;18;16;22;19
0.24121913;0.9125;0.2412772;0.927;0.26550907;0.9184;18;16;22;19
0.32383248;0.8875;0.26235235;0.9237;0.28050926;0.9134;18;16;22;19
0.26568025;0.9125;0.27792796;0.9226;0.29067633;0.9166;18;16;22;19
0.15720287;0.9375;0.19903237;0.9445;0.21775664;0.9353;18;16;22;19
0.38648477;0.9;0.19343185;0.9469;0.20960908;0.9388;18;16;22;19
0.45833716;0.8875;0.18756507;0.9453;0.20582546;0.9389;18;16;22;19
0.27705494;0.925;0.19142881;0.9437;0.20971622;0.9369;18;16;22;19
0.18478653;0.925;0.2137982;0.9384;0.23764546;0.9299;18;16;22;19
0.34314466;0.875;0.20249325;0.943;0.21852559;0.9351;18;16;22;19
0.18066534;0.95;0.19121006;0.9448;0.21708667;0.9357;18;16;22;19
0.2743698;0.8875;0.22392564;0.9348;0.23677093;0.9307;18;16;22;19
0.27770084;0.9375;0.26477462;0.9247;0.27152753;0.9194;18;16;22;19
0.32830748;0.8875;0.24569683;0.9282;0.26181734;0.9228;18;16;22;19
0.2534476;0.925;0.21101196;0.937;0.22363037;0.9325;18;16;22;19
0.1975246;0.95;0.21116297;0.9397;0.2251739;0.9309;18;16;22;19
0.14122193;0.975;0.19325383;0.9442;0.20361872;0.9415;18;16;22;19
0.12062073;0.9625;0.19806412;0.9443;0.21105464;0.9368;18;16;22;19
0.09584077;0.975;0.22520228;0.9369;0.24273467;0.93;18;16;22;19
0.1261501;0.9375;0.22962213;0.9352;0.23983589;0.9296;18;16;22;19
0.28070137;0.925;0.18200049;0.9486;0.20059916;0.9401;18;16;22;19
0.31865466;0.9125;0.18226902;0.9477;0.19960286;0.9404;18;16;22;19
0.281557;0.9125;0.20753525;0.9387;0.22326562;0.9365;18;16;22;19
0.2910679;0.9375;0.19631469;0.9407;0.22270432;0.9336;18;16;22;19
0.34400517;0.8875;0.19444413;0.9435;0.21070123;0.9391;18;16;22;19
0.09583889;0.975;0.19901934;0.9435;0.21672602;0.9379;18;16;22;19
0.121223524;0.9625;0.19471218;0.9444;0.20583919;0.9393;18;16;22;19
0.2888994;0.925;0.21832994;0.9377;0.21801808;0.9382;18;16;22;19
0.18486956;0.9125;0.2077898;0.9437;0.21013062;0.9376;18;16;22;19
0.323154;0.9125;0.34350318;0.9058;0.3612931;0.8992;18;16;22;19
0.38017458;0.8625;0.30557206;0.912;0.32123032;0.9071;18;16;22;19
0.12669082;0.975;0.19311969;0.944;0.21876109;0.9371;18;16;22;19
0.19096997;0.9375;0.21955332;0.9393;0.24024959;0.9311;18;16;22;19
0.17895952;0.95;0.18520048;0.9507;0.1928958;0.9428;18;16;22;19
0.2983152;0.925;0.22518179;0.9375;0.2213249;0.9374;18;16;22;19
0.13691857;0.9375;0.20146376;0.9433;0.20372999;0.9404;18;16;22;19
0.20590048;0.9375;0.26561764;0.9261;0.273625;0.9242;18;16;22;19
0.28745362;0.9375;0.21642192;0.9377;0.2350187;0.9306;18;16;22;19
0.34284228;0.9125;0.22085078;0.9367;0.23937836;0.9309;18;16;22;19
0.28821093;0.9375;0.21710996;0.9394;0.23264404;0.9329;18;16;22;19
0.14803652;0.95;0.21111123;0.9368;0.23218848;0.9328;18;16;22;19
0.24747014;0.95;0.20695236;0.9396;0.23244819;0.9329;18;16;22;19
0.43235478;0.925;0.18275383;0.947;0.2026415;0.9426;18;16;22;19
0.07896109;0.9625;0.22728252;0.9379;0.26432875;0.9334;18;16;22;19
0.10511581;0.975;0.19868334;0.9418;0.2011061;0.9406;17;16;22;19
0.25920087;0.925;0.20572913;0.9412;0.21153046;0.9368;17;16;22;19
0.20032474;0.9375;0.19684614;0.9486;0.20485239;0.9421;17;16;22;19
0.16261193;0.9625;0.1860535;0.9515;0.20211546;0.9436;17;16;22;19
0.30320477;0.9;0.18959054;0.9477;0.19992717;0.9426;17;16;22;19
0.20089623;0.9375;0.18608761;0.9488;0.1978365;0.9456;17;16;22;19
0.28263837;0.8875;0.19999252;0.9427;0.22091568;0.9392;17;16;22;19
0.46702233;0.9;0.22858924;0.9329;0.26121265;0.9237;17;16;22;19
0.10420271;0.9625;0.17635947;0.9497;0.19942997;0.9446;17;16;22;19
0.08752634;0.95;0.18305893;0.9462;0.19939134;0.9422;17;16;22;19
0.2341996;0.9125;0.19783473;0.9444;0.21221866;0.9427;17;16;22;19
0.11034049;0.9625;0.28315225;0.9236;0.3049148;0.9182;17;16;22;19
0.27824038;0.9125;0.23173355;0.9375;0.25834215;0.9307;17;16;22;19
0.3649441;0.9125;0.22777583;0.9363;0.23834427;0.9333;17;16;22;19
0.23743916;0.9375;0.2295118;0.9331;0.25044447;0.9293;17;16;22;19
0.31368285;0.925;0.20231396;0.9435;0.22695933;0.9364;17;16;22;19
0.14896008;0.9625;0.19994359;0.9431;0.22181599;0.9341;17;16;22;19
0.48906618;0.8625;0.25294912;0.9313;0.27653232;0.9247;17;16;22;19
0.5199202;0.875;0.24112205;0.9294;0.24113105;0.928;17;16;22;19
0.35067707;0.9;0.27413067;0.9201;0.28541625;0.9139;17;16;22;19
0.29092816;0.875;0.2552511;0.9269;0.28684527;0.9193;17;16;22;19
0.2448297;0.9125;0.2364505;0.931;0.264201;0.9259;17;16;22;19
0.39260525;0.875;0.2114374;0.9381;0.24244957;0.9317;17;16;22;19
0.46585497;0.9;0.2010202;0.9444;0.21511206;0.9386;17;16;22;19
0.24712968;0.9375;0.18024391;0.9491;0.20100075;0.9423;17;16;22;19
0.3617856;0.8875;0.20022888;0.9462;0.2188102;0.9391;17;16;22;19
