loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.5012925;0.4875;0.9065082;0.6935;0.9443898;0.6805;208;172;173;171
1.0657933;0.6875;1.0148166;0.6769;1.0665182;0.6723;205;172;173;171
0.8198125;0.7125;0.8846448;0.6979;0.9517412;0.6669;204;172;173;171
1.2193267;0.6;1.0396318;0.6066;1.0509049;0.6034;203;172;173;171
1.5870607;0.475;1.2603554;0.6114;1.2369776;0.6052;203;172;173;171
1.1989603;0.65;1.5338275;0.5624;1.5281184;0.5635;203;172;173;171
1.2011064;0.5875;1.5512857;0.4864;1.5772616;0.4884;203;172;173;171
2.9964175;0.3625;1.3969678;0.5552;1.4621131;0.5427;203;172;173;171
1.9881036;0.5;1.11695;0.6343;1.1372395;0.625;202;172;173;171
1.1119934;0.7;0.8760049;0.7099;0.882046;0.7091;201;172;173;171
1.3445789;0.6125;0.7431973;0.7476;0.79342663;0.7215;201;172;173;171
1.1469135;0.6375;0.937037;0.7064;1.0060745;0.6828;201;172;173;171
1.4606375;0.5625;1.3164371;0.5802;1.3297398;0.5807;200;172;173;171
0.8880142;0.7125;1.1762152;0.6302;1.2044812;0.6207;200;172;173;171
0.80163574;0.8;1.1156884;0.6509;1.1144904;0.6423;199;172;173;171
0.9495193;0.675;0.90585643;0.6896;0.9241787;0.6801;197;172;173;171
1.3159409;0.575;0.9240002;0.7088;0.95205295;0.6998;196;172;173;171
0.9545972;0.675;0.99933535;0.7019;0.9883414;0.699;196;172;173;171
1.3836955;0.575;0.96632403;0.6661;1.0240393;0.6524;195;172;173;171
0.9285601;0.7375;1.1216978;0.6413;1.2208555;0.6157;194;172;173;171
1.1932675;0.625;0.7784538;0.7581;0.79162955;0.7573;194;172;173;171
0.8429946;0.7375;0.76730925;0.777;0.8067643;0.764;193;172;173;171
1.3481842;0.6375;0.7305024;0.7783;0.75788283;0.7632;191;172;173;171
0.94776267;0.7375;0.7945442;0.7581;0.8167102;0.7543;191;172;173;171
0.87345713;0.7875;0.680022;0.7984;0.71028507;0.7899;190;172;173;171
0.72767735;0.85;0.6225387;0.8193;0.6598212;0.8071;190;172;173;171
1.6547348;0.65;1.0160164;0.707;1.0776052;0.6932;190;172;173;171
1.0369071;0.7625;0.9358623;0.7121;1.0246433;0.6972;189;172;173;171
1.421999;0.7625;0.85887724;0.7332;0.9045303;0.729;189;172;173;171
1.082296;0.7;1.0884854;0.6563;1.0978053;0.658;188;172;173;171
1.948267;0.6125;0.81362784;0.7846;0.87058663;0.7808;187;172;173;171
