loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
0.688443;0.7625;0.64891934;0.7894;0.666784;0.7712;67;67;67;67
0.9024781;0.65;0.67319286;0.772;0.7064498;0.7671;66;67;67;66
0.98554534;0.7625;0.6621294;0.7816;0.6967099;0.7659;65;67;67;66
0.78633636;0.6875;0.69702685;0.7974;0.71781003;0.7968;64;67;67;66
1.6147509;0.5375;0.80276734;0.7436;0.7925482;0.7423;62;67;67;66
0.41942596;0.85;1.2048993;0.6496;1.2751479;0.647;61;67;67;66
1.253145;0.55;0.7656354;0.7561;0.78198767;0.7507;61;67;67;66
0.6491429;0.7875;0.77177835;0.7441;0.7984203;0.7379;61;67;67;66
0.9531256;0.65;0.72336906;0.7621;0.7294878;0.7528;60;67;67;66
0.78221405;0.7;0.656686;0.805;0.703648;0.7904;60;67;67;66
0.98159057;0.65;0.924606;0.6822;0.9581619;0.6709;60;67;67;66
1.1002128;0.625;0.90580696;0.695;0.8965963;0.6944;60;67;67;66
1.012985;0.7125;0.770939;0.7622;0.8181381;0.7524;60;67;67;65
3.6674945;0.425;2.1564438;0.4428;2.197009;0.4393;59;67;67;65
0.92292863;0.625;1.5625285;0.6372;1.614105;0.624;59;67;67;65
1.1569471;0.6625;0.93389267;0.7302;1.003286;0.7159;59;67;67;65
0.9275476;0.725;0.9475203;0.7155;1.0021087;0.7005;59;67;67;65
1.058322;0.65;1.2766296;0.647;1.369796;0.627;59;67;66;64
0.79256356;0.6875;0.7451081;0.7578;0.7823303;0.7532;59;67;66;64
1.2479632;0.6;0.68744624;0.7884;0.7183399;0.7718;59;67;66;64
0.8962116;0.7;0.6899159;0.7744;0.7180523;0.7587;59;67;66;64
1.9082851;0.5375;0.9846301;0.7435;1.0506907;0.7276;59;67;66;64
0.9631634;0.7375;0.7220048;0.7731;0.77580976;0.7537;59;67;66;64
0.85480136;0.7625;0.93169504;0.6965;0.96371895;0.6919;59;67;66;64
1.1059961;0.75;0.6785381;0.781;0.7203015;0.7704;59;67;65;64
0.91864586;0.725;0.6541008;0.7935;0.6849792;0.7836;59;67;65;64
2.2485034;0.525;0.8513717;0.7247;0.8758328;0.7085;59;67;65;64
0.96572715;0.65;0.64721096;0.8131;0.71940905;0.7967;59;67;65;64
1.3387028;0.6375;1.0313635;0.6738;1.0918671;0.6572;59;67;65;64
1.1550254;0.7;0.9161798;0.7349;0.9475916;0.7306;59;67;65;63
1.2849013;0.6625;0.97566503;0.6841;1.0476723;0.6562;59;67;64;63
1.0876648;0.6875;0.86870587;0.7473;0.93042284;0.7242;59;67;64;63
0.6547602;0.7875;0.83135056;0.746;0.9308202;0.7254;59;67;64;63
0.9905853;0.7;0.852513;0.7535;0.83881575;0.755;59;67;64;63
1.2820578;0.6375;0.65655285;0.816;0.7124141;0.8033;59;67;64;63
0.60081244;0.75;0.5983581;0.8007;0.63909423;0.7894;59;67;64;62
0.82272017;0.775;0.9340039;0.7275;0.9779088;0.7234;59;67;64;62
0.7044195;0.825;0.89012265;0.7721;0.94291115;0.7634;59;67;64;62
0.8101862;0.825;1.2129312;0.6447;1.3346031;0.6239;59;67;64;62
0.7953036;0.7875;0.6562846;0.8031;0.6900128;0.7902;59;67;64;62
0.41075087;0.9;0.62875324;0.8129;0.66506916;0.8119;59;67;64;62
0.74282265;0.775;0.6543279;0.8139;0.66953665;0.8097;59;67;64;62
0.8332144;0.8;0.6797491;0.8167;0.7775702;0.798;59;67;64;62
0.82739943;0.7875;0.79821044;0.7592;0.8700898;0.7333;59;67;64;62
0.6486292;0.8625;0.53425545;0.8485;0.58566636;0.839;59;67;64;62
0.4661511;0.8875;0.5951188;0.8322;0.64097947;0.819;59;67;64;62
0.70843536;0.75;0.63904065;0.8291;0.70857215;0.8115;59;67;64;62
0.77139026;0.8;0.5327932;0.8496;0.5510328;0.8472;58;67;64;62
0.5160214;0.825;0.51628244;0.8464;0.5210831;0.8394;58;67;64;62
1.0016842;0.7;0.59906495;0.8258;0.6288829;0.8188;58;67;64;62
0.6586663;0.825;0.6742432;0.824;0.74318254;0.808;58;67;64;62
0.2470108;0.9;0.97958106;0.7321;1.0646633;0.7241;58;67;64;61
0.71214473;0.775;0.72975916;0.7768;0.7590043;0.7799;58;67;64;61
0.4558199;0.8375;0.5589806;0.8416;0.5348739;0.8406;58;67;64;61
