loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
0.8533738;0.675;0.64334315;0.7925;0.6591231;0.7902;50;51;51;50
0.5898488;0.7875;0.6265295;0.7892;0.6499956;0.7759;50;50;51;50
0.47292462;0.8375;0.5230742;0.8278;0.5515582;0.8138;50;50;51;49
0.48157603;0.85;0.5877176;0.8147;0.6163999;0.8022;50;50;51;49
0.90691155;0.675;0.52489895;0.8452;0.5413683;0.8444;50;50;51;49
0.7372362;0.775;0.59956765;0.791;0.6075368;0.7917;49;50;51;49
2.136521;0.375;1.3096933;0.621;1.3075808;0.6234;48;50;51;49
1.0952847;0.625;0.87876475;0.7266;0.91566426;0.7004;47;50;51;49
0.84970343;0.7125;0.7942773;0.7443;0.83516365;0.7291;46;50;51;49
1.7546978;0.5;1.3281083;0.5436;1.3480334;0.5355;46;50;51;49
0.57323277;0.825;0.47446904;0.857;0.5083172;0.8464;45;50;51;49
0.8416172;0.7125;0.8374732;0.7551;0.86253417;0.7398;45;50;51;48
0.61513937;0.8125;0.5702613;0.8185;0.5772245;0.8164;45;50;51;48
0.68037313;0.8;0.58439803;0.825;0.6166034;0.8122;44;50;51;47
0.91741335;0.7625;0.6706474;0.7881;0.6941667;0.7774;43;50;51;47
1.2094504;0.6375;0.7687034;0.7411;0.79105496;0.7421;43;50;51;47
0.4611895;0.8;0.6857001;0.7815;0.7371306;0.7644;43;50;51;47
1.0369834;0.6375;1.0561094;0.6813;1.0924536;0.6786;43;50;51;47
0.6816676;0.7875;1.112174;0.6796;1.208816;0.6572;43;50;50;47
0.60037357;0.85;0.49783993;0.8507;0.5083178;0.8444;43;50;50;47
0.6438961;0.825;0.5372865;0.8327;0.5773911;0.8192;42;50;50;46
0.53567415;0.875;0.5513369;0.8297;0.59619004;0.8157;41;50;50;46
0.43000698;0.8625;0.52261496;0.8487;0.54665184;0.8324;41;50;50;46
0.9554941;0.7375;0.82426757;0.7238;0.8412547;0.7185;40;50;50;46
0.5698363;0.8375;0.48209965;0.8639;0.47142345;0.8626;39;50;50;46
1.0753038;0.6875;0.7271011;0.7953;0.7543427;0.7817;39;50;50;46
0.53013164;0.85;0.58011425;0.8194;0.62474877;0.8041;39;50;50;46
0.9450262;0.7;0.6503411;0.8133;0.65313977;0.8088;39;50;50;46
0.3303918;0.8875;0.5437741;0.8477;0.59502506;0.8355;39;50;50;46
0.5127411;0.775;0.6499606;0.812;0.66217405;0.8032;39;50;50;46
0.62688607;0.8125;0.48848632;0.8581;0.51039237;0.8482;39;50;50;46
0.9221264;0.8125;0.6423748;0.8074;0.6758068;0.8043;39;50;50;46
0.6099075;0.7875;0.57072324;0.8276;0.5977327;0.8184;39;50;49;46
0.65812045;0.75;1.3907955;0.6398;1.4146969;0.6304;39;50;49;46
0.41892093;0.9125;0.54808456;0.8468;0.5673495;0.8344;39;50;49;46
0.83342046;0.7875;0.5242877;0.8496;0.55028164;0.8396;39;50;49;46
0.42035928;0.8125;0.44951308;0.8738;0.45850214;0.8639;39;50;49;46
1.3946024;0.6125;0.815309;0.7383;0.8296324;0.7347;38;50;49;46
0.46932894;0.8625;0.4283992;0.8772;0.4655672;0.8701;38;50;49;46
0.7382717;0.8375;0.4353841;0.8801;0.47823873;0.8698;38;50;49;46
0.73314774;0.775;0.50839096;0.8529;0.549609;0.8438;38;50;49;46
0.79078114;0.7;0.42808107;0.8766;0.44209972;0.8705;38;50;49;46
0.4104982;0.8625;0.75752264;0.7874;0.76977366;0.7813;38;50;49;46
0.7524559;0.7375;0.7836878;0.7442;0.85030955;0.7228;38;50;49;46
0.6870633;0.75;0.6269369;0.8137;0.64424205;0.8089;38;50;49;46
0.66222686;0.85;0.56614256;0.8309;0.6145723;0.8253;38;50;48;46
0.85261136;0.8;0.555479;0.8412;0.6107739;0.8222;38;50;48;46
0.73750764;0.85;0.47627333;0.8731;0.51507384;0.8613;38;50;48;46
0.45438328;0.825;0.51893264;0.861;0.51434624;0.857;38;50;48;46
0.4249981;0.8375;0.48890108;0.8508;0.5307665;0.8385;38;50;48;46
0.5127832;0.825;0.60128045;0.8182;0.6573054;0.8083;37;50;48;46
0.46740904;0.8375;0.6220466;0.8166;0.6137729;0.8232;37;50;48;46
0.8636488;0.7875;0.6286743;0.8289;0.64762664;0.8293;37;50;48;46
0.49586445;0.825;0.47804254;0.8639;0.50841796;0.8531;37;50;48;46
0.59720594;0.7875;0.73222774;0.8186;0.7580314;0.8112;37;50;48;45
0.5435344;0.85;0.4198418;0.879;0.4493337;0.8687;37;50;48;45
0.50518423;0.8625;0.38909262;0.8947;0.42665967;0.8878;37;50;48;45
