rank, avg_timing
0, 1.2476549499700014
5, 0.2472436738399847
10, 0.2487728983300076
20, 0.2501033939400077
40, 0.24805051425999408
80, 0.2522038774300017
160, 0.2659560357999908
320, 0.3286338680699919
640, 0.480258264790009
1280, 0.7966922493099992
2560, 1.4297021139699972
5120, 2.704265008219991
