loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.1248987;0.6875;1.280209;0.5135;1.2900709;0.509;50;45;45;44
1.1637764;0.6;1.047415;0.6562;1.0541843;0.6548;48;43;44;42
1.0554318;0.625;0.7762959;0.7636;0.79085207;0.7593;46;43;43;40
0.8162058;0.8125;0.69532454;0.7903;0.6992635;0.7914;44;42;40;40
0.61348516;0.8;0.6112151;0.8107;0.6084081;0.816;41;41;40;39
2.4724295;0.45;1.234238;0.5634;1.3003887;0.5399;40;40;39;38
0.9292278;0.6875;0.67762244;0.7979;0.7005796;0.7901;40;39;36;38
0.52156126;0.85;0.7351827;0.7604;0.7780818;0.7464;39;38;35;38
0.96163905;0.65;0.64937204;0.8085;0.6836779;0.8015;39;38;35;37
0.98824215;0.6625;0.8196576;0.7176;0.83034104;0.7185;38;36;34;37
1.391125;0.4375;1.5833395;0.4096;1.6359787;0.4048;38;36;34;37
0.718891;0.75;0.5946037;0.8161;0.6284138;0.7978;38;36;34;37
0.96295834;0.7625;0.6893377;0.7806;0.7131441;0.7641;38;36;34;37
0.5640459;0.8125;1.0754871;0.6106;1.0955125;0.6057;38;36;34;36
0.60255426;0.85;0.700207;0.7759;0.7053074;0.7765;37;35;34;36
0.8748684;0.7125;0.8523947;0.7129;0.86025536;0.7136;37;35;34;36
1.5222112;0.5375;0.5715546;0.835;0.57294077;0.829;37;35;34;36
0.60998;0.7625;0.5389158;0.8357;0.5806325;0.8205;36;34;34;36
0.67190444;0.7875;0.5114088;0.8482;0.52840763;0.8426;36;34;33;36
0.55790615;0.825;0.55270714;0.8398;0.5738641;0.8302;36;34;33;36
0.42787322;0.875;0.6073723;0.8136;0.63103616;0.806;35;34;33;36
0.7069476;0.775;1.2474842;0.6023;1.3098881;0.5881;35;34;32;36
0.8425231;0.75;0.87509793;0.7034;0.9157881;0.6966;34;34;32;36
0.74450314;0.75;0.51471066;0.8431;0.53928;0.8325;34;33;32;36
0.714023;0.75;0.50408435;0.8488;0.53369665;0.8355;34;33;32;36
0.43154135;0.8875;0.47634292;0.8563;0.50007737;0.849;34;33;32;36
0.83916557;0.75;0.6558968;0.792;0.66517705;0.7865;34;33;32;35
