loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.2560451;0.5875;1.4103227;0.5286;1.4895986;0.5111;180;170;171;174
0.9166624;0.7;1.0834463;0.6496;1.1232942;0.6435;180;170;171;174
0.87630004;0.675;0.9602865;0.6699;0.98743963;0.6729;180;170;171;174
0.7192804;0.8;0.9503582;0.704;1.0208766;0.6825;180;170;171;174
1.0883249;0.6875;0.67682385;0.7841;0.6936828;0.7746;180;170;171;174
0.9924792;0.7125;0.84489393;0.7075;0.8929777;0.688;180;170;171;174
0.9635971;0.7125;2.049403;0.4605;2.1180282;0.4485;180;170;171;174
1.2976847;0.575;1.0745996;0.6352;1.1109167;0.6203;180;170;171;174
4.387904;0.175;3.5554585;0.3721;3.6532853;0.3701;180;170;171;174
1.119457;0.6;1.1147312;0.641;1.1732047;0.6197;180;170;171;174
4.518901;0.3;4.971064;0.2139;5.2820463;0.2015;180;170;171;174
0.64996344;0.8;1.2507074;0.627;1.2885865;0.6211;180;170;171;174
1.0214363;0.7125;1.4354525;0.6164;1.4420199;0.6078;180;170;171;174
1.0834529;0.6625;1.7359096;0.5131;1.8159269;0.5045;179;170;171;174
0.5547112;0.85;2.0298371;0.5128;2.044688;0.5032;179;170;171;174
1.1494706;0.6875;1.2400038;0.6185;1.2953159;0.5964;179;170;171;174
1.0435672;0.725;1.0260677;0.7128;1.0455563;0.7106;179;170;171;174
0.7202139;0.75;0.9500537;0.6946;1.0220364;0.6839;179;170;171;174
1.3094442;0.6875;1.176009;0.6625;1.2157904;0.6542;179;170;171;174
0.95608455;0.725;0.72763336;0.7799;0.77053887;0.7594;179;170;171;174
1.1280721;0.675;1.4668452;0.6393;1.5775584;0.6318;178;170;171;174
1.6366475;0.55;1.4492453;0.6361;1.4060137;0.628;178;170;171;174
1.6905464;0.55;1.0240071;0.6533;1.0502312;0.6403;178;170;171;174
0.83876354;0.7125;1.0872396;0.6852;1.1300284;0.6762;178;170;171;174
1.0327361;0.7125;1.1943257;0.6703;1.2295039;0.6569;177;170;171;174
1.2777015;0.625;1.0332189;0.72;1.0821334;0.7152;177;170;171;174
0.8868176;0.6875;0.98357695;0.6657;1.0376973;0.6531;176;170;171;174
1.1710808;0.575;1.0418694;0.696;1.1376842;0.6737;176;170;171;174
1.5380093;0.625;1.0559086;0.6337;1.096297;0.6271;176;170;171;174
1.1120809;0.7;0.9376574;0.7559;1.0103687;0.7484;176;170;171;174
0.85868883;0.7375;0.71131915;0.7694;0.7160132;0.7657;176;170;171;174
1.102946;0.625;1.862993;0.5505;1.9685252;0.5448;176;170;171;174
