loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.0476949;0.6625;0.8543859;0.705;0.86538446;0.6976;38;39;40;39
0.7162411;0.7875;0.6468456;0.7762;0.67832845;0.7667;38;38;40;39
0.8449785;0.75;0.6311979;0.7937;0.6516709;0.7843;38;38;40;38
0.82597846;0.7375;0.648938;0.7781;0.6471378;0.773;38;38;40;37
0.8463324;0.6875;0.6675513;0.7878;0.72397804;0.7701;38;38;40;37
0.48063174;0.825;0.6397342;0.795;0.6502705;0.7874;38;38;40;36
0.8373545;0.675;0.93336874;0.7023;1.004184;0.6928;37;38;40;36
0.6504482;0.7625;0.73607713;0.769;0.7695742;0.7573;36;38;40;36
0.77671134;0.7;0.9723006;0.7137;1.0393384;0.71;36;38;40;36
0.7184995;0.7625;1.0010908;0.632;1.0173582;0.6361;35;38;40;36
0.6222199;0.7875;0.854299;0.725;0.8721713;0.7195;35;38;40;36
1.4492302;0.5375;1.057043;0.6372;1.1103029;0.6191;35;38;40;36
1.5707996;0.6625;0.62849593;0.8074;0.6406493;0.8049;34;37;40;36
1.488521;0.5875;0.70576316;0.7876;0.712965;0.7818;33;37;40;36
0.82169974;0.6875;0.88279855;0.7086;0.9406746;0.6872;33;37;40;36
0.7080801;0.7375;0.466504;0.8528;0.4955208;0.8432;33;37;40;36
0.47923717;0.8;0.52634376;0.8341;0.5585823;0.8223;33;37;40;36
0.7995526;0.7375;0.5453733;0.8282;0.5696453;0.8234;33;36;40;36
0.5472389;0.7875;0.6272092;0.8006;0.6834612;0.7885;32;36;40;36
0.5222948;0.85;0.5846295;0.8263;0.59638876;0.8238;32;36;40;36
0.81149197;0.7;0.55965614;0.8281;0.5877468;0.8217;32;36;40;36
0.89025706;0.7125;0.5809122;0.8253;0.6146636;0.8129;31;36;40;36
0.38372412;0.875;0.45003417;0.8729;0.5135095;0.855;31;36;39;36
0.7785324;0.7;0.53990704;0.8276;0.57290196;0.8132;31;36;39;36
0.8575056;0.7375;0.5394836;0.839;0.55564207;0.8352;31;36;39;36
0.7882193;0.8;0.59042907;0.8254;0.5857093;0.8185;31;36;39;36
0.54689604;0.825;0.41760772;0.8771;0.44829068;0.8674;31;36;39;36
0.53544044;0.7875;0.67273325;0.8048;0.68845254;0.8068;31;36;38;36
0.6234506;0.7875;0.6005162;0.8322;0.65362835;0.816;31;36;38;36
0.8129873;0.8;0.38918352;0.8851;0.4024802;0.8781;31;36;38;36
0.9650359;0.7375;0.6584672;0.8219;0.64656687;0.8239;31;36;38;36
1.110122;0.65;1.201991;0.6233;1.2711662;0.6187;31;36;38;36
0.9192789;0.6625;1.1297934;0.6606;1.1610609;0.6502;31;36;38;36
1.0395085;0.7125;0.5754213;0.8294;0.5797329;0.8178;31;36;38;36
0.78957015;0.725;0.69753987;0.7771;0.73609006;0.7754;31;36;38;36
0.82307875;0.7375;0.52958035;0.8453;0.5448094;0.8394;31;36;38;36
0.3547452;0.875;0.44677755;0.8616;0.45799765;0.8554;31;36;38;36
0.66049874;0.8;0.48031133;0.8604;0.504617;0.8532;31;36;38;36
0.64829373;0.825;0.6627064;0.7959;0.70443076;0.7815;31;36;38;36
0.5612776;0.8625;0.53489447;0.8333;0.542061;0.8354;31;36;38;36
0.7357689;0.7875;0.4210573;0.8783;0.42992568;0.8769;31;36;38;36
0.41542226;0.8125;0.67389375;0.7913;0.68919843;0.7913;31;36;38;36
0.2760086;0.9125;0.5052034;0.8577;0.49548173;0.8527;31;36;38;36
0.3834865;0.8875;0.69178504;0.8184;0.7432661;0.8129;31;36;38;36
0.4112977;0.8625;0.4433062;0.877;0.43935567;0.8759;31;36;38;36
0.6449179;0.8;0.52279544;0.8469;0.5584317;0.8439;30;36;38;36
