loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.4206946;0.4375;1.1837213;0.6073;1.2089078;0.5968;52;48;49;46
1.6851532;0.425;1.4284265;0.4364;1.4649904;0.4366;51;48;47;44
0.9863655;0.6375;1.1750913;0.5097;1.2275264;0.4758;49;47;47;44
0.815234;0.7;0.87780714;0.6997;0.9012578;0.6884;47;45;46;44
0.7215463;0.8375;0.7549351;0.741;0.7708915;0.729;45;44;45;43
0.593576;0.7875;0.6210264;0.8056;0.6363287;0.8007;43;42;44;42
1.3186411;0.5375;0.9084092;0.6826;0.95876545;0.662;42;42;43;42
0.6615982;0.7625;0.5475799;0.8285;0.5542986;0.8273;41;42;43;41
0.80124205;0.7375;0.58439493;0.8122;0.6632541;0.7878;41;41;41;40
0.7215074;0.775;0.64392537;0.8027;0.70279455;0.7894;40;41;40;40
0.58146644;0.75;0.9166499;0.6829;0.93055373;0.6837;39;40;40;40
0.82804585;0.725;0.6167951;0.8296;0.64964324;0.8147;38;40;39;40
1.1264937;0.5875;0.921045;0.6985;0.9712806;0.6904;38;40;39;39
1.0043771;0.6625;0.73548377;0.766;0.7377742;0.7689;38;40;38;39
0.5796269;0.8875;0.4888077;0.848;0.49339107;0.8446;37;40;38;39
0.30975667;0.8875;0.4726073;0.85;0.49444586;0.8476;37;39;38;38
0.8895981;0.7375;0.43994316;0.8675;0.4418334;0.8679;37;39;37;38
0.41965404;0.8375;0.40740797;0.8779;0.4116252;0.8755;37;38;37;38
0.65121496;0.8;0.612729;0.8083;0.6212455;0.8046;37;38;37;38
0.9509713;0.7625;0.589731;0.8127;0.58572024;0.8107;37;38;37;38
0.5071756;0.8625;0.42323223;0.8735;0.439842;0.8681;37;38;36;37
0.58236915;0.7875;0.5094711;0.8495;0.5220908;0.8514;36;37;36;37
0.6798464;0.825;0.39620215;0.888;0.4066499;0.8783;36;37;36;37
0.36302623;0.9;0.3642147;0.8904;0.38887858;0.8859;36;37;35;37
0.5689324;0.8125;0.64688426;0.7982;0.6683533;0.7824;35;37;35;37
0.5929115;0.825;0.44303644;0.8611;0.45865357;0.8571;35;37;34;37
0.33581373;0.9;0.41086268;0.8719;0.44261205;0.8627;35;37;34;37
0.14914285;0.9625;0.3740655;0.8877;0.37087303;0.8814;35;37;34;37
0.4122014;0.8375;0.40106338;0.8807;0.40251336;0.8799;34;37;34;36
0.51811564;0.85;0.5393937;0.8296;0.5553479;0.8155;34;37;34;36
0.61357784;0.825;0.50343776;0.8489;0.5165163;0.838;34;37;34;35
0.64698863;0.8;0.6392578;0.8044;0.68665075;0.7875;34;37;34;35
0.5608951;0.8;0.6519404;0.8081;0.6945276;0.7976;34;37;34;35
0.6073402;0.8375;0.47684345;0.8496;0.5067213;0.8468;34;37;34;35
