loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
0.8078848;0.675;0.7387626;0.7624;0.7425182;0.762;26;25;25;26
0.6316462;0.7625;0.6387152;0.7801;0.6392232;0.7813;25;25;25;25
0.7246381;0.7875;0.7273253;0.7397;0.72797346;0.7376;25;25;25;25
0.66430336;0.7375;0.75801325;0.7438;0.77976424;0.7461;25;25;25;25
0.9062706;0.7875;0.7197413;0.7482;0.7420201;0.7378;24;25;25;25
0.5075122;0.85;0.59968174;0.8107;0.6189736;0.8019;23;24;25;25
0.54461634;0.8125;0.4588041;0.8623;0.48409337;0.8575;23;24;25;25
0.5432887;0.7875;0.529046;0.8365;0.54814285;0.8353;22;24;25;25
0.6013658;0.8125;1.8823735;0.4608;1.9332101;0.4691;22;24;25;25
0.416531;0.8625;0.72247875;0.7835;0.7541432;0.7737;22;24;25;25
0.7677854;0.775;1.0135468;0.6801;1.0499803;0.6728;22;24;25;25
1.2333629;0.5875;2.133134;0.5214;2.114367;0.5049;22;24;25;25
1.041684;0.7;0.5472934;0.8306;0.5591285;0.8207;22;24;25;25
2.4086685;0.425;0.9190174;0.7055;0.9624065;0.6888;22;24;25;25
0.96988475;0.725;0.6361451;0.7897;0.6780183;0.7781;22;24;25;25
1.8061893;0.5;0.69105977;0.769;0.7462605;0.7437;22;24;25;25
0.6784545;0.7875;0.69531846;0.7863;0.7411823;0.7695;22;24;25;25
0.7263671;0.75;0.4315024;0.8705;0.44491446;0.8695;22;24;25;25
1.9388638;0.5375;1.1661619;0.6067;1.2552202;0.5934;22;24;25;25
0.90758836;0.7375;0.8251219;0.7558;0.85094357;0.7513;21;24;25;25
0.6152874;0.7875;0.7435018;0.7658;0.767329;0.7585;21;24;25;25
0.81016386;0.75;0.559702;0.8264;0.5944634;0.8115;21;24;25;25
0.42037377;0.9125;0.79661226;0.7604;0.7953533;0.7599;21;24;25;25
0.547077;0.85;0.53789026;0.8335;0.58364403;0.8279;21;24;25;25
0.57932395;0.8375;0.54670584;0.834;0.5530278;0.8336;21;24;25;25
0.6627039;0.775;0.5125878;0.8494;0.53223085;0.8467;21;24;25;25
0.64615345;0.7875;0.51653326;0.8481;0.53024423;0.8437;21;24;25;25
0.87530535;0.675;0.62010205;0.8075;0.63883483;0.8005;20;24;25;25
0.78951156;0.775;0.6884886;0.7855;0.69184285;0.7851;20;23;25;25
0.35797948;0.8625;0.6198172;0.8167;0.63043296;0.8109;20;23;25;25
0.4836349;0.825;0.67705625;0.8046;0.6746093;0.8029;20;23;25;25
0.41482362;0.825;0.3986096;0.8783;0.4203046;0.8702;20;23;25;25
0.6895998;0.7375;0.42702276;0.8735;0.4455588;0.8702;20;23;25;25
0.50865996;0.8625;0.39754462;0.882;0.4146084;0.875;20;23;25;25
0.7374135;0.7125;0.48765665;0.8546;0.50783396;0.8432;20;23;25;25
0.4738062;0.8625;0.767535;0.759;0.7826304;0.7528;20;23;25;25
0.44278058;0.8125;0.45845807;0.859;0.4819477;0.8551;20;23;25;25
0.3354959;0.9;0.44324008;0.8716;0.46526688;0.866;20;23;25;25
0.50092345;0.7875;0.4795679;0.859;0.48636842;0.8548;20;23;25;25
0.53649426;0.8125;0.47641963;0.8623;0.49203232;0.8572;20;23;25;25
0.36231735;0.9125;0.4118715;0.8841;0.44971704;0.8775;20;23;25;25
0.61368144;0.7375;0.77001804;0.7477;0.8440035;0.7339;20;23;25;25
0.480455;0.85;0.58740604;0.8199;0.59869033;0.8165;20;23;25;25
0.42503595;0.85;0.41298428;0.8811;0.41606197;0.8803;20;23;25;25
0.67590123;0.7875;0.48238418;0.8523;0.50982004;0.8406;20;23;25;25
0.87143433;0.775;0.8720945;0.7462;0.92243147;0.7294;20;23;25;25
0.6600674;0.7875;0.56136984;0.8356;0.59648633;0.8241;20;23;25;25
0.594345;0.8375;0.46478355;0.8589;0.4689984;0.851;20;23;25;25
0.39744604;0.9;0.6001012;0.839;0.5885009;0.8409;20;23;25;25
0.36946875;0.85;0.42541504;0.8791;0.4427419;0.8718;20;23;25;25
0.39083546;0.875;0.34408525;0.9011;0.35107544;0.8979;20;23;24;25
0.36288914;0.9125;0.38510847;0.8824;0.3973324;0.8828;20;23;24;25
0.6382202;0.775;0.39344943;0.888;0.4023517;0.8809;20;23;24;25
0.8882922;0.75;0.41395962;0.8745;0.42177474;0.8658;20;23;24;25
0.3937258;0.9125;0.41433868;0.8782;0.45063388;0.8633;20;23;24;25
0.32983422;0.8875;0.422827;0.8815;0.4555134;0.8748;20;23;24;25
0.4514289;0.8375;0.3743186;0.8849;0.4133606;0.8713;20;23;24;25
0.49513632;0.8;0.5297812;0.8438;0.5617383;0.8353;20;23;24;25
0.61969745;0.8375;0.67782587;0.7856;0.6783283;0.7946;20;23;24;25
0.3956151;0.875;0.6906904;0.7967;0.7574642;0.7831;20;23;24;25
0.47353935;0.8375;0.5206685;0.8474;0.5543941;0.8384;20;23;24;25
0.5163003;0.7875;0.41459623;0.876;0.4418999;0.8714;20;23;24;25
0.45531932;0.825;0.48353052;0.8515;0.50087374;0.8454;20;23;24;25
0.5485104;0.8125;0.35179907;0.8982;0.3787718;0.8859;20;23;24;25
0.69221455;0.85;0.41762486;0.8832;0.4065918;0.8877;20;23;24;25
0.29858604;0.9125;0.37601805;0.8926;0.42498824;0.8758;20;23;24;25
0.3600781;0.9125;0.33437535;0.9027;0.37090492;0.8945;20;23;24;25
0.3155912;0.9125;0.3503287;0.897;0.3868022;0.8881;20;23;24;25
0.46816978;0.875;0.5066032;0.8514;0.570982;0.842;20;23;23;25
0.6352473;0.825;0.3948115;0.8853;0.42733502;0.8777;20;23;23;25
0.5345185;0.85;0.41548496;0.8784;0.43116465;0.8798;20;23;23;25
0.6600973;0.8125;0.39141053;0.886;0.41259307;0.875;20;23;23;24
0.51440495;0.85;0.390199;0.8861;0.41686964;0.8782;20;23;23;24
0.51721877;0.8375;0.3768318;0.8945;0.40721124;0.8884;20;23;23;24
0.30703813;0.9125;0.4265669;0.8789;0.4657419;0.8736;20;23;23;24
0.38656914;0.8875;0.44029498;0.8682;0.46313936;0.8592;20;23;23;24
0.5385413;0.875;0.41721734;0.8814;0.45693302;0.8677;20;23;23;24
0.32265425;0.925;0.4070109;0.8871;0.43141195;0.8744;20;23;23;24
0.25536802;0.95;0.31434712;0.9067;0.33507237;0.9017;19;23;23;24
0.21720615;0.95;0.36227018;0.8967;0.38157925;0.8978;19;23;23;24
0.37984946;0.9;0.5254682;0.8433;0.5810507;0.832;19;23;23;24
0.36967;0.925;0.40907487;0.8761;0.4344926;0.8734;19;23;23;24
0.22571845;0.925;0.36137885;0.8934;0.3907719;0.8915;19;23;23;24
0.25158387;0.925;0.37798956;0.8857;0.38147438;0.8862;19;23;23;24
0.23093672;0.9;0.39674342;0.8842;0.41874415;0.8804;19;23;23;24
0.66659075;0.9;0.33919433;0.9019;0.3738776;0.8924;18;23;23;24
0.70920086;0.7875;0.3337222;0.9052;0.35488296;0.9018;18;23;23;24
0.3071971;0.9125;0.34029564;0.8992;0.37517133;0.8879;18;23;23;24
0.16917107;0.925;0.41897413;0.8872;0.49695802;0.8679;18;23;23;24
0.37103787;0.8875;0.90129435;0.7189;0.94646466;0.7013;18;23;23;24
0.35592127;0.8625;0.34881666;0.9041;0.35921094;0.899;18;23;23;24
0.42889586;0.875;0.34408653;0.8981;0.3541802;0.8952;18;23;23;24
0.5158035;0.875;0.34642696;0.9017;0.36339203;0.8955;18;23;23;24
0.39855403;0.8875;0.39314;0.8924;0.42945606;0.8873;18;23;23;24
0.43725824;0.8625;0.3709977;0.894;0.41580138;0.8796;18;23;23;24
0.21147767;0.9125;0.37913707;0.8874;0.4120253;0.8778;18;23;23;24
0.49246007;0.8125;0.5115791;0.8646;0.56948876;0.8512;18;23;23;24
0.17696565;0.9375;0.3637476;0.892;0.40950158;0.8819;18;23;23;24
0.3060728;0.9;0.40556857;0.884;0.4197556;0.8764;18;23;23;24
0.6302435;0.825;0.37059;0.8939;0.38049716;0.8939;18;23;23;24
0.4227036;0.825;0.34939498;0.9033;0.37328616;0.8949;18;23;23;24
0.38151923;0.8875;0.39341587;0.8827;0.39968407;0.8844;18;23;23;24
0.42399818;0.8625;0.26984528;0.925;0.28437218;0.9158;18;23;23;24
0.3528188;0.9125;0.30161077;0.9183;0.34273836;0.9056;18;23;23;24
0.32536975;0.9;0.33109194;0.9045;0.3656923;0.8947;18;23;23;24
0.50683707;0.85;0.36017567;0.8961;0.39542645;0.8823;18;23;23;24
0.28384262;0.875;0.29001322;0.9177;0.32615066;0.9061;18;23;23;24
0.61745584;0.85;0.55808204;0.8289;0.6180008;0.821;18;23;23;24
0.30605504;0.8875;0.28883612;0.9158;0.33650005;0.9058;18;23;23;24
0.3407985;0.875;0.36959887;0.8917;0.40077838;0.8885;18;23;23;24
0.278531;0.925;0.3238981;0.9094;0.34199044;0.906;18;23;23;24
0.27538425;0.9;0.3416265;0.8983;0.37239948;0.89;18;23;23;24
0.22462156;0.925;0.29997447;0.9166;0.31073493;0.9115;18;23;23;24
0.35250673;0.8625;0.33675897;0.9008;0.33481088;0.8992;17;23;23;24
0.22060232;0.9125;0.33718845;0.9016;0.35773432;0.8972;17;23;23;24
0.44425136;0.8375;0.30432245;0.9124;0.3356458;0.8988;17;23;23;24
0.3679664;0.8375;0.2490708;0.9303;0.2657482;0.9245;17;23;23;24
0.5358039;0.825;1.3148768;0.6376;1.4129877;0.6144;17;23;23;24
0.3032568;0.925;0.3597565;0.9022;0.3905114;0.8931;17;23;23;24
0.1746345;0.925;0.35237426;0.9008;0.37976602;0.8898;17;23;23;24
0.3313019;0.9125;0.32326606;0.9125;0.34779513;0.9016;17;23;23;24
0.1905802;0.9375;0.24795628;0.9318;0.27193978;0.9218;17;23;23;24
0.21447349;0.925;0.27704388;0.9219;0.3057574;0.9101;17;23;23;24
0.32435617;0.925;0.2856615;0.9223;0.31091657;0.9145;17;23;23;24
0.48633456;0.85;0.28049618;0.9198;0.31188986;0.9109;17;23;23;24
0.46470585;0.9;0.46825382;0.8688;0.501862;0.8618;17;23;23;24
0.31552678;0.9;0.32990196;0.9063;0.3551049;0.9043;17;23;23;24
0.5045736;0.825;0.36761147;0.8951;0.38441947;0.8898;17;23;23;24
0.4048465;0.875;0.26753375;0.9215;0.27981415;0.9198;17;23;23;24
0.52456343;0.8375;0.32549393;0.9054;0.36090204;0.8898;17;23;23;24
0.52559584;0.85;0.42274278;0.8778;0.44764584;0.8693;17;23;23;24
0.91967183;0.7375;0.37975365;0.8927;0.38417667;0.8886;17;23;23;24
0.57966006;0.85;0.644193;0.834;0.6890179;0.827;17;23;23;24
0.5242963;0.825;0.33014947;0.9042;0.38450885;0.8871;17;23;23;24
0.4040145;0.85;0.29158196;0.9162;0.31425458;0.9131;17;23;23;24
0.30307704;0.925;0.2833231;0.9199;0.3080931;0.9136;17;23;23;24
0.44477043;0.8875;0.3309209;0.9104;0.32309335;0.9059;17;23;22;24
0.2961679;0.8875;0.2805534;0.9251;0.3206099;0.9148;17;23;22;24
0.3219859;0.875;0.2905794;0.9171;0.30439705;0.9145;17;23;22;24
0.338061;0.9125;0.35539562;0.8978;0.39558718;0.8888;17;23;22;24
0.21704826;0.9375;0.3984242;0.8871;0.44671074;0.8762;17;23;22;24
0.33266085;0.8875;0.28266987;0.9238;0.3058933;0.9098;17;23;22;24
0.29153562;0.9125;0.24604687;0.9285;0.26167804;0.924;17;23;22;24
0.2983696;0.9;0.34035152;0.9106;0.3650464;0.9034;17;23;22;24
0.23714378;0.9375;0.37973383;0.8993;0.39852548;0.8925;17;23;22;24
0.24983959;0.925;0.2728032;0.9238;0.28811616;0.9214;17;23;22;24
0.42662477;0.875;0.32596552;0.9066;0.3528002;0.8929;17;23;22;24
0.2471759;0.9125;0.28189936;0.9156;0.31003258;0.9077;17;23;22;24
0.563152;0.825;0.32401997;0.9092;0.338958;0.9017;17;23;22;24
0.6509304;0.825;1.9793203;0.5921;2.128032;0.5781;17;23;22;24
0.566702;0.8125;0.34064782;0.8985;0.35653076;0.8977;17;23;22;24
0.37207064;0.9;0.39193016;0.892;0.40205204;0.8894;17;23;22;24
