loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.3370286;0.4875;1.5508617;0.4326;1.5665305;0.4272;65;56;56;57
1.7636263;0.375;1.3841335;0.5317;1.3842387;0.5223;62;56;56;56
1.3787826;0.4375;1.0443354;0.6002;1.0955812;0.5886;60;56;56;56
1.8853617;0.3875;1.6418711;0.3594;1.619938;0.3743;57;56;56;56
0.7456279;0.75;0.72565925;0.7692;0.750224;0.7632;55;56;56;56
0.69913226;0.8125;0.74353427;0.7349;0.77019894;0.7285;54;55;56;55
1.4729062;0.4625;0.67476964;0.7775;0.6942647;0.7693;51;54;54;55
0.61174357;0.775;0.4695212;0.8686;0.49775723;0.8579;49;53;54;55
0.774903;0.8125;0.6992879;0.7885;0.7639768;0.7715;48;53;54;55
0.93875504;0.7;0.6785196;0.7784;0.6988762;0.7689;47;52;54;55
0.5764277;0.8375;0.5967236;0.8086;0.6261117;0.7962;46;52;54;55
0.36343175;0.9;0.5674569;0.827;0.55818516;0.8248;45;52;54;55
0.6726856;0.775;0.6888486;0.7975;0.6933501;0.7948;45;52;53;55
0.42820024;0.85;0.5364827;0.8413;0.5473711;0.8366;44;52;53;55
0.6012197;0.8;0.55239177;0.8303;0.5634056;0.8251;43;52;53;55
0.4452181;0.8375;0.49034697;0.8521;0.5286629;0.838;43;51;53;55
1.3127049;0.5125;0.9716713;0.696;1.0584303;0.6665;43;50;53;54
0.50943965;0.8125;0.4409861;0.8731;0.45520073;0.868;42;50;53;54
0.5277961;0.825;0.5151852;0.8491;0.51742786;0.8492;41;50;53;54
0.89348125;0.75;1.5934945;0.5747;1.6128893;0.5824;40;50;53;54
0.70917255;0.7875;0.62436795;0.7895;0.6192932;0.792;40;49;53;53
0.6967837;0.7875;0.59781945;0.8234;0.59784085;0.8282;39;49;52;53
0.49723905;0.825;0.47794315;0.8536;0.4962972;0.8464;39;49;52;53
0.44094554;0.8625;0.4326578;0.8659;0.44974658;0.8563;39;49;52;53
1.0015417;0.6875;0.65096897;0.779;0.6622775;0.7742;39;49;52;53
0.921484;0.6625;0.594744;0.8143;0.6181456;0.8039;39;49;52;53
0.6163502;0.7875;0.4725322;0.8566;0.49927744;0.8448;39;49;52;53
0.40641612;0.8625;0.5535747;0.8396;0.5675261;0.8338;39;48;51;53
0.6254724;0.8625;0.4840503;0.8568;0.5039766;0.8498;38;48;51;53
