loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
0.852938;0.7125;0.8529905;0.6871;0.85915667;0.6884;90;91;91;92
0.8103348;0.75;0.7437257;0.7631;0.75604147;0.7675;87;91;91;91
0.68306667;0.7375;0.48880187;0.8426;0.5325729;0.8236;86;91;91;91
1.3236771;0.675;0.75115114;0.7406;0.7712474;0.7353;85;91;91;91
0.62091607;0.825;0.70241755;0.7752;0.7168845;0.7697;84;91;91;91
1.0678264;0.625;0.7451459;0.752;0.7630267;0.7556;84;90;91;91
1.0403028;0.6875;1.1002166;0.6457;1.1175424;0.6437;83;90;91;91
2.6086614;0.225;1.7746875;0.4571;1.8145654;0.4592;83;90;91;91
1.4225236;0.675;0.9899496;0.6232;1.0230619;0.61;83;90;91;91
1.0596555;0.725;1.1083767;0.6979;1.1475422;0.6832;83;90;91;91
1.164757;0.575;1.1056815;0.662;1.0961323;0.6647;82;90;91;91
1.0801569;0.6375;1.0187172;0.6707;1.0401502;0.6511;81;90;91;91
1.0198233;0.6625;1.0801426;0.6243;1.0980213;0.6206;81;90;91;91
0.72602767;0.775;1.2514142;0.6233;1.3221146;0.6143;81;90;91;90
0.6748846;0.75;0.811925;0.7484;0.8405367;0.739;81;89;91;90
0.8932611;0.725;1.1966685;0.5896;1.2245882;0.5837;80;89;91;90
0.84637755;0.6625;1.9980652;0.3853;2.04742;0.3823;80;89;90;90
0.86728114;0.75;0.53897566;0.8355;0.588063;0.8209;80;89;90;90
1.264469;0.6875;0.75323707;0.7673;0.7797338;0.7589;80;89;90;90
1.0310091;0.6875;0.8092536;0.761;0.87387717;0.7429;80;88;89;90
1.4267102;0.5875;1.0835341;0.7215;1.1667588;0.7065;80;88;89;89
1.263821;0.5625;0.91939074;0.6587;0.97553635;0.6517;80;88;89;89
0.835997;0.75;0.7648236;0.785;0.7792536;0.7791;80;88;89;88
0.8786315;0.675;1.0569696;0.6992;1.1325867;0.6829;80;88;89;88
0.6059166;0.7625;0.79053456;0.757;0.8545849;0.7443;80;88;89;88
0.8755189;0.7375;0.699436;0.7973;0.7491045;0.7889;80;88;88;88
