loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.2982266;0.55;1.2726746;0.4833;1.2863487;0.4834;22;21;21;20
1.3265749;0.4375;1.4136;0.4338;1.4297001;0.4249;22;20;20;19
1.5265701;0.375;1.3407565;0.4591;1.331324;0.4657;21;20;20;18
0.9794868;0.6375;0.9439596;0.6499;0.96656436;0.6344;19;20;19;17
0.6344779;0.725;0.6653716;0.7628;0.6879196;0.753;18;19;18;17
0.92649174;0.7;0.5465415;0.8185;0.56667674;0.8131;17;18;18;17
0.66380495;0.7375;0.57728606;0.8043;0.6062662;0.7915;16;18;17;17
0.531593;0.8375;0.5322168;0.8338;0.5388152;0.8206;16;18;17;17
0.3951649;0.8375;0.4400479;0.8687;0.4594502;0.8562;16;18;17;16
0.4519967;0.85;0.5003471;0.8493;0.5098322;0.8392;16;18;17;16
0.5303441;0.85;0.5784571;0.8086;0.59815603;0.7954;16;17;16;16
4.0985413;0.225;2.6264288;0.3734;2.739755;0.3514;16;17;16;16
0.85211504;0.725;0.48650625;0.8498;0.4995173;0.8462;16;17;16;16
0.4780423;0.85;0.41898867;0.8713;0.4380887;0.867;16;17;16;16
0.27587372;0.8875;0.3403302;0.8947;0.35293993;0.8863;16;17;16;16
4.1761694;0.35;3.0739276;0.3906;3.1694434;0.3941;16;17;16;16
0.5151497;0.8375;0.50879407;0.828;0.5308514;0.8159;15;17;16;16
0.32114434;0.9125;0.380314;0.8833;0.3974838;0.8784;15;16;16;16
0.45506915;0.8375;0.4547562;0.8564;0.47121313;0.8422;15;16;16;16
0.37295145;0.8625;0.49815547;0.839;0.5202241;0.8334;15;16;16;16
0.7219253;0.8;0.5080789;0.8424;0.50459003;0.8423;15;16;16;16
0.3689326;0.9;0.37764496;0.8836;0.40644854;0.8726;15;16;16;16
0.27535632;0.8875;0.35057047;0.8924;0.36737788;0.8842;15;16;16;16
0.47222805;0.8625;0.52926624;0.8161;0.56708753;0.7974;15;16;16;16
0.49409056;0.875;0.32919088;0.9032;0.36231485;0.8857;15;16;16;16
0.44843665;0.825;0.4274442;0.8629;0.46559346;0.847;15;16;16;16
0.450877;0.85;0.35378104;0.8946;0.40033254;0.8783;15;16;16;16
0.4252409;0.8625;0.35816944;0.8917;0.38410956;0.8817;15;16;16;16
0.2809969;0.925;0.30939955;0.9038;0.3207502;0.9005;15;15;16;16
0.56199604;0.8;0.3944712;0.8816;0.40740952;0.8784;15;15;16;16
0.51932657;0.8625;0.41674042;0.8734;0.43559366;0.8671;15;15;16;16
1.6603632;0.425;1.1250769;0.6179;1.1617074;0.6145;15;15;16;16
0.2582797;0.9;0.3885193;0.8798;0.3994128;0.8746;15;15;16;16
0.43633914;0.875;0.44651484;0.8596;0.462438;0.8582;15;15;16;16
0.52124166;0.8375;3.4811056;0.4802;3.43273;0.4876;15;15;16;16
0.3636189;0.9;0.33419356;0.896;0.3582617;0.8912;15;15;16;16
0.41658622;0.9;0.33510333;0.8943;0.35968196;0.8868;14;15;16;16
0.4151722;0.875;0.6888533;0.7985;0.73382026;0.7881;14;15;16;16
0.15403226;0.9625;0.3242091;0.9046;0.33934194;0.8981;14;15;16;16
0.43817768;0.875;0.3190605;0.9105;0.34551564;0.9013;14;15;16;16
0.5646391;0.8;0.33656573;0.9004;0.337598;0.8989;14;15;16;16
0.19556347;0.95;0.30337596;0.9056;0.3065336;0.9038;14;15;16;16
0.33827996;0.925;0.2648313;0.9176;0.2812169;0.9117;14;15;16;16
0.4088212;0.875;0.2828874;0.917;0.2864137;0.9134;14;15;16;16
0.30253074;0.875;0.2633458;0.9205;0.27201557;0.9149;14;15;16;16
0.38403672;0.85;0.25657895;0.9228;0.28908408;0.9115;14;15;16;16
0.36776865;0.9;0.24124527;0.9278;0.24991518;0.9211;14;15;16;16
0.1773773;0.95;0.25046998;0.927;0.2663125;0.9211;14;15;16;16
0.290793;0.8875;0.2810039;0.9138;0.29835424;0.9069;14;15;16;16
0.6769271;0.825;0.35920197;0.8915;0.37558112;0.8876;14;15;16;16
0.39127582;0.8875;0.28814122;0.9134;0.29927772;0.9104;14;15;16;16
0.26719293;0.9;0.26635668;0.9191;0.2782141;0.9165;14;15;16;16
0.37924346;0.8875;0.2954845;0.9131;0.3058213;0.9085;14;15;15;16
0.41535416;0.8875;0.27794513;0.9189;0.2912004;0.9119;13;15;15;16
0.30046445;0.9375;0.24864423;0.9278;0.26387838;0.921;13;15;15;16
0.4183616;0.8625;0.26666918;0.9225;0.29004318;0.9123;13;15;15;16
0.27702704;0.925;0.25680244;0.9238;0.2720416;0.9174;13;15;15;16
0.14467283;0.9375;0.23494712;0.9351;0.24627304;0.9282;13;15;15;16
0.21312562;0.925;0.44324565;0.8678;0.4606625;0.8577;13;15;15;16
0.49686003;0.8375;0.2762801;0.922;0.29254833;0.9144;13;15;15;16
0.30879876;0.9;0.2877731;0.9154;0.30458358;0.9061;13;15;15;16
0.5119552;0.8375;0.3667585;0.8935;0.37876216;0.8912;13;15;15;16
0.6684989;0.7875;0.5645322;0.8279;0.59063953;0.8248;13;15;15;16
0.3179461;0.9125;0.30188558;0.911;0.31773993;0.9024;13;15;15;16
0.34253812;0.925;0.29675326;0.9161;0.31194144;0.907;13;15;15;16
0.37663153;0.9;0.31548843;0.9078;0.32931092;0.9033;13;15;15;16
0.37822315;0.8625;0.24679758;0.9294;0.26021546;0.9209;13;15;15;16
0.31085217;0.9;0.31468153;0.9079;0.3314342;0.9003;13;15;15;16
0.56051904;0.8;0.33451405;0.9023;0.34244424;0.8998;13;15;15;16
0.48021513;0.875;0.31633613;0.9065;0.335461;0.8997;13;15;15;16
0.5164689;0.8125;0.33525184;0.9073;0.35577914;0.8971;13;15;15;16
0.19110739;0.925;0.3364588;0.9013;0.36281163;0.8909;13;15;15;16
0.42700785;0.85;0.4127354;0.8777;0.4253075;0.8709;13;15;15;16
0.24070477;0.9125;0.24263325;0.9277;0.24986482;0.9244;13;15;15;16
1.1067606;0.725;0.6202564;0.8021;0.6719035;0.7858;13;15;15;16
0.34507996;0.875;0.3132178;0.9101;0.32692397;0.9006;13;15;15;16
0.32329518;0.9125;0.3584565;0.8936;0.3669103;0.8844;13;15;15;16
0.4483591;0.8875;0.3078101;0.9107;0.33341545;0.9042;13;15;15;16
0.2975131;0.875;0.3120261;0.9068;0.33132488;0.9007;13;15;15;16
0.25162208;0.9125;0.26397008;0.9218;0.28145018;0.9186;13;15;15;16
0.43934304;0.8625;0.2940036;0.9121;0.30104285;0.9071;13;15;15;16
0.22836128;0.9375;0.29820856;0.9119;0.31508875;0.906;13;15;15;16
0.4153448;0.825;0.3102465;0.905;0.33175585;0.9018;13;15;15;16
0.30912596;0.9;0.32611686;0.9019;0.35636556;0.8919;13;15;15;16
0.24796829;0.9125;0.28475198;0.9158;0.30209383;0.9076;13;15;15;16
0.19915259;0.9125;0.2461183;0.9253;0.2551361;0.9224;13;15;15;16
0.25596708;0.925;0.235899;0.9283;0.24306032;0.9276;13;15;15;16
0.16256544;0.95;0.23786387;0.9314;0.26001036;0.9253;13;15;15;16
0.19484273;0.925;0.2717726;0.9178;0.28902414;0.9134;13;15;15;16
0.42110047;0.9;0.21216978;0.9386;0.22986372;0.9314;13;15;15;16
0.0947585;0.975;0.23035406;0.9351;0.24912806;0.9282;13;15;15;16
0.2626115;0.95;0.23725681;0.9314;0.25359458;0.9252;13;15;15;16
0.2767213;0.8875;0.2385657;0.9304;0.26369703;0.9222;13;15;15;16
0.1855069;0.9375;0.20431498;0.939;0.22184253;0.9333;13;15;15;16
