loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.202327;0.625;1.4463204;0.48;1.4484018;0.475;85;82;84;84
0.85583913;0.7;0.96924335;0.6733;1.0315863;0.6534;85;82;84;84
0.89725035;0.65;0.8851424;0.6971;0.9086001;0.6939;84;82;84;84
0.7554749;0.725;0.5775869;0.8039;0.5862138;0.8084;80;82;84;84
1.1199751;0.6125;1.1373639;0.5975;1.1621175;0.5995;77;82;84;84
0.5603122;0.85;0.63378453;0.7963;0.65713143;0.7941;73;82;84;84
1.1989758;0.6;0.8226664;0.7461;0.86360353;0.7351;69;82;84;84
0.9281312;0.7125;1.6569484;0.3965;1.7027164;0.3828;68;82;84;84
0.9998873;0.675;0.86460733;0.6837;0.8860342;0.6903;66;82;84;84
1.1181434;0.575;0.8084466;0.7478;0.8397619;0.7299;64;81;84;84
0.6328317;0.8;0.62675184;0.7959;0.63816863;0.7909;63;81;84;84
0.5236698;0.8625;0.6607584;0.8026;0.695846;0.7934;61;80;84;84
1.0047743;0.65;0.54162467;0.8272;0.5368208;0.8306;59;79;84;84
1.5034344;0.65;0.87213534;0.7334;0.88550603;0.7192;58;79;84;84
0.7479888;0.7875;0.47400805;0.8629;0.49999678;0.8543;58;79;84;84
0.6605829;0.8;0.63804716;0.8054;0.64401376;0.7925;58;79;84;84
1.6185436;0.5125;0.75772315;0.7688;0.8056123;0.7612;58;79;84;84
0.6711931;0.75;0.7208167;0.7772;0.7509459;0.7597;57;79;84;84
0.7267984;0.7875;0.5278415;0.8385;0.54293096;0.8334;56;79;84;84
0.94063205;0.675;0.6658449;0.7984;0.6917626;0.7872;55;79;84;84
0.6121176;0.8;0.63417745;0.7925;0.6636073;0.7865;55;78;84;84
0.52321225;0.825;0.51730514;0.847;0.5175345;0.8416;55;78;83;84
0.3747287;0.8625;0.6299441;0.8224;0.62925017;0.8199;55;78;83;84
0.39789623;0.9;0.7017584;0.7742;0.688137;0.7784;55;78;83;84
0.85443145;0.7625;0.5186038;0.853;0.532243;0.8483;54;78;83;84
0.74598444;0.7125;0.79664963;0.7616;0.8081011;0.7544;54;78;82;84
1.0115479;0.725;0.60111016;0.8132;0.59866804;0.8125;54;78;82;84
0.4204246;0.8625;0.5326856;0.845;0.5517785;0.8348;54;78;82;84
0.7181528;0.7375;0.50617605;0.8519;0.5237456;0.8495;54;78;82;84
0.7385822;0.775;0.6536049;0.8093;0.68175167;0.8008;53;78;81;84
0.76458865;0.75;0.52012247;0.8542;0.5592719;0.8442;53;78;80;84
0.4246401;0.875;0.60630417;0.8127;0.5951547;0.8151;52;78;80;84
0.47296014;0.825;0.5853416;0.8319;0.6119342;0.8249;52;78;80;84
0.64141047;0.825;0.47747535;0.8653;0.50754124;0.8563;52;77;80;84
0.6411084;0.8;0.40263394;0.8881;0.42153946;0.8771;52;77;80;84
0.46287686;0.85;0.4813744;0.866;0.4663667;0.8691;52;77;80;84
0.5219227;0.8375;0.50451106;0.8542;0.52710706;0.847;51;77;80;84
0.6376401;0.775;0.40970352;0.8856;0.4235456;0.879;51;77;80;84
0.59423685;0.7875;0.5095906;0.8362;0.52003944;0.8402;51;77;80;84
0.37139788;0.9;0.81016535;0.7559;0.83941716;0.7439;51;77;80;84
0.37615696;0.875;0.56176746;0.8306;0.6162065;0.8159;50;77;80;84
0.3333456;0.875;0.5016646;0.8469;0.5127759;0.8426;50;77;80;84
0.6951256;0.825;0.43613183;0.8702;0.46197486;0.8603;50;77;80;84
0.4360768;0.85;0.5714847;0.8364;0.6161326;0.8218;50;77;80;84
0.47663823;0.8625;0.65616906;0.8054;0.6976378;0.8044;50;77;80;84
0.49264422;0.875;0.66171575;0.8025;0.6685873;0.8037;50;77;80;84
0.66867507;0.775;0.541708;0.8336;0.56679267;0.8244;50;77;80;84
0.5815621;0.7875;0.6560587;0.8143;0.71128654;0.7964;50;77;80;84
0.5039225;0.825;0.50648475;0.8494;0.56325865;0.8284;50;77;80;84
0.52041173;0.8625;0.4135444;0.8783;0.44102958;0.8688;50;77;80;84
0.30276766;0.8875;0.44860357;0.8812;0.47590762;0.8681;50;77;80;84
0.61895525;0.875;0.4171616;0.8745;0.44181505;0.8717;50;77;80;84
0.45727557;0.85;0.4680259;0.8668;0.4909607;0.8634;50;77;80;84
0.6684203;0.775;0.4530629;0.8711;0.47340414;0.861;50;77;80;84
0.6090949;0.8125;0.5798048;0.8239;0.5849505;0.8277;50;77;80;84
0.5206853;0.85;0.41163862;0.8899;0.42610323;0.8784;49;77;80;84
0.6101979;0.9;0.44505182;0.8793;0.47427514;0.87;48;77;80;84
0.66835564;0.8125;0.5310669;0.8457;0.59538233;0.8306;48;77;80;84
0.38550738;0.9;0.5358339;0.8467;0.5501605;0.8468;48;77;80;84
0.49630064;0.8;0.4892869;0.8707;0.50054914;0.8588;48;77;80;84
0.80983955;0.8;0.42754483;0.8781;0.46395093;0.867;48;77;80;84
0.9040953;0.8125;0.49290356;0.8587;0.5120821;0.8507;48;77;80;84
0.68155015;0.8125;0.39991227;0.8877;0.4087405;0.8802;48;77;80;84
0.28929648;0.9375;0.36685362;0.8975;0.36913455;0.8881;48;77;80;84
0.46806973;0.8875;0.4308978;0.8752;0.429979;0.8708;48;77;80;84
0.58138764;0.85;0.40260845;0.8861;0.44392306;0.874;48;77;80;84
0.17174391;0.9375;0.40169263;0.887;0.4288799;0.8797;48;77;79;84
0.38278446;0.875;0.38118058;0.8861;0.3968592;0.8769;48;77;79;84
1.1017948;0.7375;0.7211275;0.7742;0.75897473;0.768;48;77;79;84
0.48787707;0.8375;0.5561975;0.8167;0.61054736;0.8022;48;76;79;84
0.5717953;0.875;0.42056397;0.8751;0.465499;0.8621;48;76;79;84
0.33323836;0.9125;0.44527823;0.8815;0.5107541;0.8575;48;76;79;84
0.27430704;0.9;0.39629072;0.8873;0.43061066;0.877;48;76;79;84
0.44948298;0.825;0.35871342;0.8964;0.3931005;0.881;48;76;79;84
0.35061115;0.875;0.36760092;0.8923;0.4114451;0.8819;48;75;79;84
0.50062275;0.8625;0.3728623;0.8903;0.39980045;0.88;48;75;79;84
0.32446313;0.875;0.44388944;0.8732;0.46819073;0.8645;48;75;79;84
0.38401175;0.8875;0.38731948;0.8899;0.4066556;0.8859;48;75;79;84
0.41230106;0.875;0.3024507;0.9193;0.31177187;0.9097;48;75;79;84
0.2579347;0.925;0.32834542;0.9124;0.33528438;0.9056;48;75;79;84
0.37136292;0.875;0.3662993;0.8965;0.3961241;0.8884;48;75;79;84
0.29960763;0.875;0.42783555;0.8715;0.47552451;0.8601;48;74;79;84
0.556077;0.8625;0.33510953;0.9057;0.35363013;0.9027;48;74;78;84
0.6626577;0.85;0.37314296;0.8961;0.39721096;0.8858;48;74;78;84
0.5739768;0.875;0.34788874;0.9044;0.37132734;0.8972;48;74;78;84
0.58037776;0.8375;0.42067984;0.8836;0.46639824;0.8703;48;74;78;84
0.31440014;0.925;0.33401927;0.9048;0.37291083;0.8927;48;74;78;84
0.5319356;0.85;0.3852233;0.8948;0.41101113;0.8888;48;74;78;84
0.6077097;0.8625;0.35442296;0.9017;0.36463848;0.894;48;74;77;84
0.23941684;0.9125;0.33339423;0.904;0.35692698;0.8964;48;74;77;84
0.14590451;0.9625;0.3923314;0.888;0.41060498;0.883;48;73;77;84
0.5869926;0.825;0.3392309;0.9001;0.36109722;0.8921;48;73;77;84
0.4402752;0.8875;0.41372743;0.8768;0.43269277;0.8717;47;73;77;84
0.3152309;0.875;0.34405035;0.9058;0.34503025;0.9043;47;73;77;84
0.45537615;0.8625;0.38181677;0.8922;0.38764217;0.8848;47;73;77;84
