loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.24651805;0.9375;0.116538696;0.9636;0.12260343;0.9619;500;500;500
0.1820995;0.95;0.08802159;0.9735;0.09132466;0.971;500;500;500
0.046026915;0.9875;0.10223221;0.971;0.10588357;0.9692;500;500;500
0.09094645;0.975;0.083538584;0.9769;0.08164389;0.9774;500;500;500
0.0048499927;1.0;0.086884156;0.9751;0.08635024;0.9762;500;500;500
0.05574847;0.9875;0.08932551;0.977;0.094801515;0.9761;500;500;500
0.09558767;0.9875;0.10831438;0.9746;0.11149412;0.9744;500;500;500
0.08779882;0.9625;0.09737047;0.9774;0.09025319;0.9786;500;500;500
0.0010784648;1.0;0.09918957;0.979;0.08967529;0.9786;500;500;500
0.0580943;0.975;0.105000876;0.9767;0.09854877;0.9767;500;500;500
0.0061250227;1.0;0.11373808;0.974;0.117961966;0.9737;500;500;500
0.0010212064;1.0;0.1167188;0.974;0.11322631;0.9759;500;500;500
0.0019903707;1.0;0.09481842;0.9791;0.10137303;0.9792;500;500;500
0.0001780899;1.0;0.13951458;0.9713;0.15593289;0.9696;500;500;500
0.001762962;1.0;0.10824086;0.9784;0.10193688;0.9781;500;500;500
0.023076247;0.9875;0.108025365;0.9787;0.12221623;0.977;500;500;500
0.009970222;1.0;0.089592345;0.9805;0.08900816;0.9803;500;500;500
0.0072436472;1.0;0.11576;0.9761;0.11990261;0.974;500;500;500
0.0019304069;1.0;0.09879679;0.9796;0.09182185;0.9785;500;500;500
0.0008907573;1.0;0.09703314;0.9805;0.09752724;0.9807;500;500;500
0.0018901238;1.0;0.10103943;0.9798;0.091323346;0.9795;500;500;500
0.00088408624;1.0;0.103129685;0.9791;0.10230136;0.9782;500;500;500
0.002800209;1.0;0.1165235;0.9793;0.12227605;0.9783;500;500;500
0.003351242;1.0;0.08984252;0.983;0.08641662;0.9817;500;500;500
0.0004638325;1.0;0.10451154;0.9783;0.09716522;0.98;500;500;500
7.770503e-05;1.0;0.104286596;0.9785;0.09562664;0.9817;500;500;500
0.000669744;1.0;0.120386325;0.9777;0.12739365;0.9757;500;500;500
0.0005668921;1.0;0.09922168;0.9813;0.097245574;0.9813;500;500;500
0.0003026955;1.0;0.108302675;0.9794;0.10006133;0.9817;500;500;500
