loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.2764652;0.55;0.99568284;0.6444;1.028925;0.6462;65;63;62;62
0.92514956;0.6125;1.0552027;0.6298;1.116538;0.6172;64;63;61;61
1.109402;0.65;0.686711;0.7892;0.73571396;0.7762;60;60;61;59
0.63526154;0.825;0.74215156;0.751;0.74068093;0.7578;57;58;60;58
0.87749946;0.5875;0.7143053;0.7622;0.7216711;0.7608;54;57;60;57
1.0636231;0.5875;1.0819122;0.6151;1.1050469;0.6156;54;56;59;56
0.74125755;0.7125;0.6263531;0.8037;0.65180355;0.7977;51;56;58;56
0.7396515;0.775;0.7594886;0.7474;0.7713935;0.7396;50;54;56;56
0.69683707;0.8;0.5070063;0.824;0.5303822;0.8139;50;53;56;55
0.7740623;0.8375;0.57369715;0.8137;0.5977076;0.8054;49;52;55;55
0.7649774;0.7875;0.53470486;0.8416;0.5365397;0.8333;49;52;55;55
0.61025006;0.8125;0.5927374;0.8039;0.6190289;0.7879;47;51;55;55
1.2849814;0.5;0.74571955;0.7595;0.7609678;0.7568;46;51;54;55
0.64273995;0.7875;0.6775919;0.7944;0.71026105;0.7845;46;50;54;55
1.0028033;0.6625;1.055421;0.6248;1.0639622;0.62;46;50;54;55
1.0319064;0.5875;0.742017;0.7671;0.73374826;0.7599;45;50;53;55
1.0592147;0.6875;0.95469725;0.6636;0.9766924;0.6504;44;49;53;55
0.42557096;0.875;0.5194072;0.8495;0.54678136;0.8353;44;49;53;55
0.9308966;0.725;0.7738877;0.7423;0.8087889;0.7246;44;49;53;55
0.592979;0.825;1.0062084;0.6933;1.042036;0.6805;44;49;53;55
0.4933218;0.825;0.49399728;0.8503;0.50669044;0.8476;44;49;53;54
0.8191312;0.7375;0.7548067;0.7708;0.7962521;0.7596;44;49;53;54
1.2420275;0.65;0.5108262;0.8408;0.54069364;0.8274;44;48;53;54
0.58227766;0.7875;0.46797842;0.858;0.49509364;0.8468;43;48;53;54
0.920554;0.7625;0.7169975;0.7829;0.7609045;0.7694;43;47;53;54
0.51509666;0.8125;0.52154607;0.8482;0.58668214;0.8258;43;47;53;54
0.68588066;0.775;0.47450566;0.8609;0.5105947;0.851;43;47;53;54
0.7635554;0.7875;0.46736026;0.8634;0.48253408;0.8603;43;47;53;54
0.32192248;0.9125;0.6600583;0.7901;0.6748459;0.7825;43;47;53;54
0.4280253;0.825;0.61997354;0.8147;0.6705861;0.796;43;47;53;54
0.68201035;0.8;1.3704482;0.6335;1.5020663;0.6136;43;47;53;54
0.58117926;0.8;0.5783595;0.8332;0.6043311;0.8201;42;47;53;54
0.5776187;0.8125;0.63544375;0.7994;0.6956172;0.7838;42;47;53;54
0.6618366;0.8;0.6636131;0.7742;0.6483064;0.7847;42;47;53;54
0.5455569;0.85;0.46819302;0.8627;0.48764598;0.8589;41;47;53;54
0.83786696;0.7;0.5107192;0.8477;0.5018944;0.8445;41;47;53;54
0.602784;0.85;0.50066847;0.8494;0.5062241;0.8472;41;47;53;54
0.3451344;0.925;0.43484083;0.8731;0.43609512;0.8669;41;47;52;54
0.7365018;0.8125;0.47231075;0.8584;0.4957739;0.8491;41;47;52;54
