loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
0.11846638;0.9625;0.21492715;0.9527;0.23772271;0.9445;37;40;45;48
0.007451795;1.0;0.20972;0.9552;0.23567456;0.9469;37;40;45;48
0.0048025856;1.0;0.19642697;0.9571;0.25066215;0.948;37;40;45;48
0.008894839;1.0;0.21311148;0.9594;0.25420266;0.9558;37;40;45;48
0.03830281;0.9875;0.23317032;0.9593;0.2750374;0.9543;37;40;45;48
0.007894011;1.0;0.27378884;0.9576;0.3171931;0.9499;37;40;45;48
0.035169583;0.9875;0.23682986;0.9632;0.28861305;0.9577;37;40;45;48
0.07527347;0.9875;0.3033294;0.9583;0.3316296;0.9515;37;40;45;48
0.00020803678;1.0;0.32645625;0.9609;0.38090414;0.9493;37;40;45;48
0.00016994515;1.0;0.4131511;0.9569;0.4085743;0.9525;37;40;45;48
0.00019494358;1.0;0.38789073;0.9567;0.39856234;0.9559;37;40;45;48
0.00047673457;1.0;0.34941283;0.9606;0.35885173;0.9564;37;40;45;48
0.0017574746;1.0;0.36669883;0.9587;0.38866302;0.9573;37;40;45;48
0.000103779035;1.0;0.36123624;0.9604;0.3861953;0.9572;37;40;45;48
3.137252e-05;1.0;0.39665282;0.9622;0.3971065;0.961;37;40;45;48
0.0015002073;1.0;0.39532056;0.963;0.42216715;0.9624;37;40;45;48
6.8807726e-06;1.0;0.3624344;0.9657;0.4127631;0.9638;37;40;45;48
1.6216234e-05;1.0;0.4024142;0.9643;0.3983959;0.9625;37;40;45;48
0.0013930991;1.0;0.38821903;0.9647;0.4290741;0.9624;37;40;45;48
0.039494384;0.975;0.4182432;0.9643;0.45701188;0.9634;37;40;45;48
2.3483194e-06;1.0;0.44685903;0.9632;0.5380498;0.9595;37;40;45;48
3.6357353e-06;1.0;0.50965786;0.9596;0.5277221;0.9592;37;40;45;48
0.06461201;0.9875;0.50229776;0.9617;0.53622985;0.957;37;40;45;48
0.00091849454;1.0;0.45387447;0.9643;0.49439064;0.9588;37;40;45;48
0.20890918;0.9875;0.5253859;0.9625;0.5244884;0.9602;37;40;45;48
3.7488142e-06;1.0;0.5421288;0.963;0.54178184;0.9599;37;40;45;48
3.0503235e-05;1.0;0.51750946;0.9604;0.54992557;0.9601;37;40;45;48
0.14097008;0.9875;0.4872614;0.9651;0.53829956;0.9623;37;40;45;48
0.0001823123;1.0;0.53133;0.9682;0.57512367;0.9635;37;40;45;48
0.24485251;0.9875;0.50392777;0.9645;0.5654434;0.962;37;40;45;48
0.0004750173;1.0;0.51593965;0.9655;0.578803;0.9624;37;40;45;48
1.1369166e-06;1.0;0.5727377;0.9678;0.6428345;0.9647;37;40;45;48
0.0017215153;1.0;0.57364905;0.9663;0.64991397;0.9622;37;40;45;48
0.0001240585;1.0;0.5546679;0.966;0.70356816;0.9601;37;40;45;48
0.0048808185;1.0;0.605641;0.9665;0.66684943;0.9635;37;40;45;48
0.004350439;1.0;0.7191363;0.9611;0.77709484;0.9551;37;40;45;48
4.847978e-06;1.0;0.63946044;0.9607;0.71027434;0.9547;37;40;45;48
0.13023426;0.975;0.57330173;0.9628;0.62838566;0.9582;37;40;45;48
1.1144372e-05;1.0;0.60108167;0.9643;0.6462752;0.9612;37;40;45;48
0.118699886;0.9875;0.52568537;0.9644;0.5534021;0.961;37;40;45;48
0.008067352;1.0;0.5813583;0.964;0.6263017;0.9601;37;40;45;48
0.19716193;0.9875;0.5560423;0.9636;0.6189825;0.9591;37;40;45;48
0.0013663708;1.0;0.592359;0.9634;0.6410289;0.9603;37;40;45;48
6.378603e-05;1.0;0.56914157;0.9634;0.64262754;0.9613;37;40;45;48
2.338242e-05;1.0;0.49323058;0.9694;0.5396739;0.9664;37;40;45;48
0.0005792093;1.0;0.48925146;0.9658;0.52739954;0.9638;37;40;45;48
0.15837653;0.9875;0.47141474;0.9688;0.51026064;0.9634;37;40;45;48
0.047799222;0.9875;0.48717183;0.9676;0.48565528;0.967;37;40;45;48
0.0011554703;1.0;0.54498845;0.9682;0.5660326;0.9624;37;40;45;48
0.16372612;0.9875;0.5762207;0.9684;0.51198137;0.9667;37;40;45;48
2.2261606e-06;1.0;0.5574836;0.9678;0.6200116;0.962;37;40;45;48
0.15964572;0.9875;0.5879442;0.9673;0.6177018;0.964;37;40;45;48
0.55539197;0.975;0.5389268;0.9664;0.5432949;0.9655;37;40;45;48
0.12572923;0.9875;0.581935;0.9657;0.5799448;0.9611;37;40;45;48
0.24758622;0.9875;0.52537984;0.9655;0.55465156;0.9633;37;40;45;48
0.00046403217;1.0;0.662895;0.9659;0.61268777;0.9614;37;40;45;48
0.013162537;0.9875;0.5826854;0.9652;0.54837626;0.9638;37;40;45;48
0.044130497;0.9875;0.61393577;0.9659;0.62537605;0.9632;37;40;45;48
0.0019066011;1.0;0.6807749;0.967;0.6435278;0.962;37;40;45;48
9.899049e-05;1.0;0.679713;0.9658;0.72163093;0.9625;37;40;45;48
0.25660634;0.9875;0.6634574;0.9667;0.69325024;0.9613;37;40;45;48
0.0483458;0.9875;0.7040959;0.9668;0.77237487;0.9645;37;40;45;48
0.19929187;0.9875;0.67908466;0.9676;0.70712787;0.9649;37;40;45;48
0.109242596;0.9875;0.7432671;0.9675;0.8188131;0.9644;37;40;45;48
0.08168974;0.975;0.6951101;0.9691;0.77961123;0.9634;37;40;45;48
1.6062511e-06;1.0;0.75373846;0.9678;0.84200877;0.9653;37;40;45;48
8.1956216e-08;1.0;0.69908595;0.97;0.7838183;0.9666;37;40;45;48
6.8551876e-06;1.0;0.6648413;0.9696;0.7270299;0.9653;37;40;45;48
0.18763456;0.9875;0.73299414;0.9675;0.82184494;0.9652;37;40;45;48
2.3157289e-05;1.0;0.8179436;0.9665;0.86980724;0.9642;37;40;45;48
0.003217718;1.0;0.8087727;0.9681;0.7704718;0.9656;37;40;45;48
0.14496115;0.9875;0.76694345;0.9679;0.8282018;0.9658;37;40;45;48
0.0033976294;1.0;0.90916955;0.9662;0.78664744;0.9665;37;40;45;48
0.010300454;0.9875;0.86327285;0.9689;0.8674844;0.964;37;40;45;48
0.109926;0.9875;0.92480916;0.9682;0.90893584;0.963;37;40;45;48
2.7566938e-07;1.0;0.8364038;0.9692;0.87082285;0.9667;37;40;45;48
0.0013333526;1.0;0.9677199;0.9675;1.0079933;0.9635;37;40;45;48
4.6751256e-06;1.0;0.9532247;0.9688;0.88625497;0.9678;37;40;45;48
0.010935465;0.9875;0.888715;0.968;0.87209827;0.9629;37;40;45;48
0.20108196;0.9875;1.0347077;0.9654;1.1047362;0.9611;37;40;45;48
0.014120294;0.9875;0.93434685;0.9695;0.8853777;0.9669;37;40;45;48
6.6396847e-06;1.0;1.026227;0.9644;0.9210201;0.9636;37;40;45;48
0.23148231;0.9875;0.9506154;0.9674;0.9274321;0.9665;37;40;45;48
5.289838e-07;1.0;0.9763155;0.9687;0.96266055;0.9631;37;40;45;48
0.3522337;0.9875;1.0149976;0.9691;0.8878327;0.9673;37;40;45;48
3.2931217e-07;1.0;0.87879133;0.968;0.7921101;0.9684;37;40;45;48
7.5695635e-07;1.0;1.05359;0.967;1.0008141;0.9668;37;40;45;48
4.6506328e-05;1.0;0.9421157;0.9673;0.84433556;0.9645;37;40;45;48
0.013152419;0.9875;1.0271792;0.9664;0.8759403;0.9669;37;40;45;48
0.00018502562;1.0;0.9228414;0.9706;0.83778644;0.9687;37;40;45;48
0.008325549;1.0;1.1667105;0.9641;0.9945669;0.9658;37;40;45;48
9.010712e-05;1.0;1.0741673;0.9671;0.9373245;0.9675;37;40;45;48
8.9406935e-09;1.0;1.0797168;0.9678;0.8887744;0.9688;37;40;45;48
0.00041248352;1.0;1.0493197;0.9657;0.9530506;0.9647;37;40;45;48
0.0005717827;1.0;1.166214;0.9642;1.1390506;0.9623;37;40;45;48
0.2301236;0.9875;1.0949882;0.9673;0.9510135;0.9692;37;40;45;48
0.094786696;0.9875;1.0538381;0.9679;0.9513937;0.9675;37;40;45;48
0.15704931;0.9875;1.2577109;0.9666;1.140527;0.9669;37;40;45;48
0.14354202;0.9875;1.2035471;0.967;1.177181;0.9652;37;40;45;48
0.0120434165;0.9875;1.0806576;0.9715;1.0361959;0.968;37;40;45;48
