loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.27423754;0.95;0.11727245;0.9646;0.12350175;0.9619;784;784;784
0.03288302;0.9875;0.09530093;0.9699;0.09456916;0.969;784;784;784
0.0086281765;1.0;0.1093898;0.9697;0.10352815;0.9697;784;784;784
0.16515942;0.9625;0.09168525;0.9744;0.08346648;0.9765;784;784;784
0.03089472;0.975;0.0887611;0.978;0.08535316;0.9779;784;784;784
0.048812624;0.975;0.096351914;0.9775;0.09585897;0.9764;784;784;784
0.0030871043;1.0;0.1013379;0.9761;0.09606142;0.9744;784;784;784
0.07817254;0.9875;0.10294718;0.9752;0.102382995;0.9753;784;784;784
0.022725794;0.9875;0.13721241;0.9717;0.13153541;0.9709;784;784;784
0.004525511;1.0;0.08854426;0.9792;0.088218234;0.9794;784;784;784
0.0046316;1.0;0.09784934;0.9779;0.094275646;0.978;784;784;784
0.0014584626;1.0;0.11547226;0.9765;0.09857015;0.9782;784;784;784
0.0055175135;1.0;0.10432172;0.9786;0.094266176;0.979;784;784;784
0.0006462862;1.0;0.09555289;0.9788;0.095804214;0.9797;784;784;784
0.0007715459;1.0;0.10966387;0.9785;0.10889016;0.9783;784;784;784
0.0007774014;1.0;0.09659336;0.9802;0.08646897;0.9807;784;784;784
0.00019258492;1.0;0.11221572;0.9804;0.1002716;0.9799;784;784;784
0.0129370345;1.0;0.111587405;0.9797;0.10120032;0.9782;784;784;784
0.00054192706;1.0;0.10929257;0.9803;0.1073456;0.9779;784;784;784
0.0031081766;1.0;0.12763622;0.9779;0.12628447;0.9758;784;784;784
0.058013123;0.9875;0.093086205;0.9821;0.08517103;0.9812;784;784;784
0.0014305351;1.0;0.14209534;0.9765;0.11381114;0.9803;784;784;784
0.0028548494;1.0;0.104399964;0.9791;0.10501179;0.9794;784;784;784
0.000746208;1.0;0.11083105;0.9803;0.108848974;0.9787;784;784;784
0.00058744586;1.0;0.1130195;0.9801;0.09432208;0.9815;784;784;784
0.0003262904;1.0;0.13229656;0.9801;0.115506954;0.9809;784;784;784
0.0025341685;1.0;0.119875476;0.9818;0.11981912;0.9806;784;784;784
